Date,Order ID,Item,Category,Quantity,Price,Amount,Cost
2026-01-02,ORD-70709,Margherita Pizza,Pizza,5,15,75,25.0
2026-01-02,ORD-23213,Beef Burger,Burgers,2,14,28,12.0
2026-01-02,ORD-58720,French Fries,Sides,2,5,10,3.0
2026-01-02,ORD-74669,Soda,Drinks,3,3,9,1.5
2026-01-02,ORD-74577,Coffee,Drinks,3,4,12,3.0
2026-01-02,ORD-82127,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-02,ORD-27343,Caesar Salad,Salads,1,12,12,4.0
2026-01-02,ORD-22381,Margherita Pizza,Pizza,5,15,75,25.0
2026-01-02,ORD-55271,Tiramisu,Desserts,1,8,8,3.0
2026-01-02,ORD-55526,Beef Burger,Burgers,2,14,28,12.0
2026-01-02,ORD-84746,Tiramisu,Desserts,3,8,24,9.0
2026-01-02,ORD-73636,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-02,ORD-80461,Bruschetta,Appetizers,1,7,7,2.5
2026-01-02,ORD-10919,Beef Burger,Burgers,2,14,28,12.0
2026-01-02,ORD-54849,Tiramisu,Desserts,1,8,8,3.0
2026-01-02,ORD-12790,Soda,Drinks,1,3,3,0.5
2026-01-02,ORD-30763,Soda,Drinks,3,3,9,1.5
2026-01-02,ORD-14406,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-02,ORD-60257,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-02,ORD-87935,Beef Burger,Burgers,2,14,28,12.0
2026-01-02,ORD-59078,Soda,Drinks,3,3,9,1.5
2026-01-02,ORD-50097,Margherita Pizza,Pizza,4,15,60,20.0
2026-01-02,ORD-25933,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-02,ORD-48977,Soda,Drinks,3,3,9,1.5
2026-01-02,ORD-38679,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-02,ORD-83657,Beef Burger,Burgers,2,14,28,12.0
2026-01-02,ORD-21635,Tiramisu,Desserts,1,8,8,3.0
2026-01-02,ORD-18057,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-02,ORD-63032,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-02,ORD-33189,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-02,ORD-31110,Caesar Salad,Salads,1,12,12,4.0
2026-01-02,ORD-29080,Coffee,Drinks,2,4,8,2.0
2026-01-02,ORD-74715,Beef Burger,Burgers,2,14,28,12.0
2026-01-02,ORD-25727,Tiramisu,Desserts,1,8,8,3.0
2026-01-02,ORD-70889,Pepperoni Pizza,Pizza,3,18,54,18.0
2026-01-02,ORD-61946,Tiramisu,Desserts,3,8,24,9.0
2026-01-02,ORD-78251,French Fries,Sides,3,5,15,4.5
2026-01-02,ORD-29845,Coffee,Drinks,3,4,12,3.0
2026-01-02,ORD-13896,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-02,ORD-95074,French Fries,Sides,3,5,15,4.5
2026-01-02,ORD-67890,Coffee,Drinks,1,4,4,1.0
2026-01-02,ORD-15285,Bruschetta,Appetizers,1,7,7,2.5
2026-01-02,ORD-78274,Tiramisu,Desserts,1,8,8,3.0
2026-01-02,ORD-65241,Margherita Pizza,Pizza,4,15,60,20.0
2026-01-02,ORD-39244,French Fries,Sides,3,5,15,4.5
2026-01-02,ORD-40315,Tiramisu,Desserts,2,8,16,6.0
2026-01-02,ORD-72175,Soda,Drinks,2,3,6,1.0
2026-01-02,ORD-91151,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-02,ORD-17365,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-02,ORD-52569,Soda,Drinks,2,3,6,1.0
2026-01-02,ORD-79086,French Fries,Sides,1,5,5,1.5
2026-01-02,ORD-70383,Beef Burger,Burgers,2,14,28,12.0
2026-01-02,ORD-38640,Bruschetta,Appetizers,1,7,7,2.5
2026-01-02,ORD-92877,Tiramisu,Desserts,1,8,8,3.0
2026-01-02,ORD-98199,Margherita Pizza,Pizza,4,15,60,20.0
2026-01-02,ORD-10229,Soda,Drinks,2,3,6,1.0
2026-01-02,ORD-89864,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-02,ORD-26579,Coffee,Drinks,3,4,12,3.0
2026-01-02,ORD-85895,Coffee,Drinks,2,4,8,2.0
2026-01-02,ORD-21723,Coffee,Drinks,2,4,8,2.0
2026-01-02,ORD-51836,Soda,Drinks,3,3,9,1.5
2026-01-02,ORD-41208,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-02,ORD-17210,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-02,ORD-43400,Beef Burger,Burgers,3,14,42,18.0
2026-01-02,ORD-54772,Caesar Salad,Salads,3,12,36,12.0
2026-01-02,ORD-86913,Coffee,Drinks,3,4,12,3.0
2026-01-02,ORD-31049,Soda,Drinks,2,3,6,1.0
2026-01-02,ORD-71038,Soda,Drinks,1,3,3,0.5
2026-01-02,ORD-24656,Tiramisu,Desserts,3,8,24,9.0
2026-01-02,ORD-81370,Beef Burger,Burgers,1,14,14,6.0
2026-01-02,ORD-57918,Coffee,Drinks,2,4,8,2.0
2026-01-02,ORD-88207,Coffee,Drinks,2,4,8,2.0
2026-01-02,ORD-43641,Caesar Salad,Salads,1,12,12,4.0
2026-01-02,ORD-15133,Soda,Drinks,2,3,6,1.0
2026-01-02,ORD-15166,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-02,ORD-97817,Bruschetta,Appetizers,1,7,7,2.5
2026-01-02,ORD-61271,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-02,ORD-99870,Soda,Drinks,1,3,3,0.5
2026-01-02,ORD-93043,Soda,Drinks,3,3,9,1.5
2026-01-02,ORD-55253,Tiramisu,Desserts,2,8,16,6.0
2026-01-02,ORD-67104,Pepperoni Pizza,Pizza,3,18,54,18.0
2026-01-02,ORD-24394,Beef Burger,Burgers,3,14,42,18.0
2026-01-02,ORD-39763,Tiramisu,Desserts,2,8,16,6.0
2026-01-02,ORD-37809,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-03,ORD-41187,Soda,Drinks,1,3,3,0.5
2026-01-03,ORD-94982,Coffee,Drinks,3,4,12,3.0
2026-01-03,ORD-36630,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-03,ORD-66363,Coffee,Drinks,2,4,8,2.0
2026-01-03,ORD-89544,Caesar Salad,Salads,2,12,24,8.0
2026-01-03,ORD-66573,Tiramisu,Desserts,3,8,24,9.0
2026-01-03,ORD-32561,Coffee,Drinks,3,4,12,3.0
2026-01-03,ORD-63104,Caesar Salad,Salads,3,12,36,12.0
2026-01-03,ORD-99067,French Fries,Sides,1,5,5,1.5
2026-01-03,ORD-79922,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-03,ORD-63822,French Fries,Sides,3,5,15,4.5
2026-01-03,ORD-60099,Tiramisu,Desserts,3,8,24,9.0
2026-01-03,ORD-49113,Soda,Drinks,1,3,3,0.5
2026-01-03,ORD-18299,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-03,ORD-16403,Beef Burger,Burgers,2,14,28,12.0
2026-01-03,ORD-44814,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-03,ORD-44274,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-03,ORD-21105,French Fries,Sides,2,5,10,3.0
2026-01-03,ORD-13995,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-03,ORD-41427,Tiramisu,Desserts,3,8,24,9.0
2026-01-03,ORD-47010,Soda,Drinks,3,3,9,1.5
2026-01-03,ORD-26437,Beef Burger,Burgers,2,14,28,12.0
2026-01-03,ORD-83169,Caesar Salad,Salads,3,12,36,12.0
2026-01-03,ORD-62812,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-03,ORD-42717,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-03,ORD-32615,French Fries,Sides,1,5,5,1.5
2026-01-03,ORD-43808,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-38511,Coffee,Drinks,2,4,8,2.0
2026-01-03,ORD-86001,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-64878,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-03,ORD-80201,Tiramisu,Desserts,1,8,8,3.0
2026-01-03,ORD-44518,Margherita Pizza,Pizza,4,15,60,20.0
2026-01-03,ORD-10888,Bruschetta,Appetizers,1,7,7,2.5
2026-01-03,ORD-52307,Soda,Drinks,1,3,3,0.5
2026-01-03,ORD-97133,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-03,ORD-16660,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-03,ORD-97102,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-81740,Beef Burger,Burgers,1,14,14,6.0
2026-01-03,ORD-38074,Coffee,Drinks,2,4,8,2.0
2026-01-03,ORD-91827,Pepperoni Pizza,Pizza,3,18,54,18.0
2026-01-03,ORD-86438,Soda,Drinks,3,3,9,1.5
2026-01-03,ORD-20183,French Fries,Sides,2,5,10,3.0
2026-01-03,ORD-82913,French Fries,Sides,2,5,10,3.0
2026-01-03,ORD-38045,Pepperoni Pizza,Pizza,3,18,54,18.0
2026-01-03,ORD-30943,French Fries,Sides,2,5,10,3.0
2026-01-03,ORD-98941,Tiramisu,Desserts,1,8,8,3.0
2026-01-03,ORD-97119,Tiramisu,Desserts,1,8,8,3.0
2026-01-03,ORD-29896,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-03,ORD-58030,French Fries,Sides,1,5,5,1.5
2026-01-03,ORD-45138,Beef Burger,Burgers,1,14,14,6.0
2026-01-03,ORD-92549,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-96802,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-03,ORD-62536,Caesar Salad,Salads,2,12,24,8.0
2026-01-03,ORD-27589,Bruschetta,Appetizers,1,7,7,2.5
2026-01-03,ORD-96937,Soda,Drinks,3,3,9,1.5
2026-01-03,ORD-10301,Tiramisu,Desserts,2,8,16,6.0
2026-01-03,ORD-77903,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-03,ORD-47783,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-15467,Tiramisu,Desserts,1,8,8,3.0
2026-01-03,ORD-11034,Beef Burger,Burgers,3,14,42,18.0
2026-01-03,ORD-55030,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-20889,Caesar Salad,Salads,3,12,36,12.0
2026-01-03,ORD-61652,Beef Burger,Burgers,2,14,28,12.0
2026-01-03,ORD-62121,French Fries,Sides,1,5,5,1.5
2026-01-03,ORD-80142,Coffee,Drinks,2,4,8,2.0
2026-01-03,ORD-37933,Caesar Salad,Salads,3,12,36,12.0
2026-01-03,ORD-42547,Tiramisu,Desserts,3,8,24,9.0
2026-01-03,ORD-59640,French Fries,Sides,2,5,10,3.0
2026-01-03,ORD-46972,Pepperoni Pizza,Pizza,3,18,54,18.0
2026-01-03,ORD-70162,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-03,ORD-54794,Tiramisu,Desserts,1,8,8,3.0
2026-01-03,ORD-65421,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-03,ORD-56444,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-03,ORD-98690,Margherita Pizza,Pizza,4,15,60,20.0
2026-01-03,ORD-47875,Coffee,Drinks,3,4,12,3.0
2026-01-03,ORD-15813,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-03,ORD-21541,Tiramisu,Desserts,3,8,24,9.0
2026-01-03,ORD-20468,Pepperoni Pizza,Pizza,3,18,54,18.0
2026-01-03,ORD-30838,Beef Burger,Burgers,3,14,42,18.0
2026-01-03,ORD-26296,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-03,ORD-47905,Pepperoni Pizza,Pizza,3,18,54,18.0
2026-01-03,ORD-53555,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-03,ORD-98717,French Fries,Sides,3,5,15,4.5
2026-01-03,ORD-13122,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-92849,French Fries,Sides,1,5,5,1.5
2026-01-03,ORD-81102,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-03,ORD-63621,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-66438,Caesar Salad,Salads,1,12,12,4.0
2026-01-03,ORD-56134,Beef Burger,Burgers,3,14,42,18.0
2026-01-03,ORD-76644,Soda,Drinks,1,3,3,0.5
2026-01-03,ORD-25737,Soda,Drinks,1,3,3,0.5
2026-01-03,ORD-21107,Tiramisu,Desserts,3,8,24,9.0
2026-01-03,ORD-47236,Coffee,Drinks,3,4,12,3.0
2026-01-03,ORD-10395,Caesar Salad,Salads,1,12,12,4.0
2026-01-03,ORD-24102,Bruschetta,Appetizers,1,7,7,2.5
2026-01-03,ORD-98965,French Fries,Sides,3,5,15,4.5
2026-01-03,ORD-46468,Soda,Drinks,2,3,6,1.0
2026-01-03,ORD-21526,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-03,ORD-59264,Bruschetta,Appetizers,1,7,7,2.5
2026-01-03,ORD-97029,Coffee,Drinks,3,4,12,3.0
2026-01-03,ORD-78439,Soda,Drinks,3,3,9,1.5
2026-01-03,ORD-26379,Soda,Drinks,1,3,3,0.5
2026-01-03,ORD-45185,French Fries,Sides,1,5,5,1.5
2026-01-03,ORD-44368,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-03,ORD-67839,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-03,ORD-46684,French Fries,Sides,3,5,15,4.5
2026-01-03,ORD-34534,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-03,ORD-19401,Beef Burger,Burgers,1,14,14,6.0
2026-01-03,ORD-43632,Pepperoni Pizza,Pizza,3,18,54,18.0
2026-01-03,ORD-47328,Beef Burger,Burgers,1,14,14,6.0
2026-01-03,ORD-72656,Beef Burger,Burgers,1,14,14,6.0
2026-01-03,ORD-27180,Beef Burger,Burgers,2,14,28,12.0
2026-01-03,ORD-18553,Tiramisu,Desserts,2,8,16,6.0
2026-01-03,ORD-55448,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-97279,Beef Burger,Burgers,1,14,14,6.0
2026-01-03,ORD-81580,Coffee,Drinks,3,4,12,3.0
2026-01-03,ORD-12927,Beef Burger,Burgers,1,14,14,6.0
2026-01-03,ORD-59072,Beef Burger,Burgers,1,14,14,6.0
2026-01-03,ORD-21412,Coffee,Drinks,3,4,12,3.0
2026-01-03,ORD-77851,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-03,ORD-83528,Soda,Drinks,1,3,3,0.5
2026-01-03,ORD-38906,Caesar Salad,Salads,2,12,24,8.0
2026-01-03,ORD-25502,Soda,Drinks,2,3,6,1.0
2026-01-03,ORD-25648,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-03,ORD-55455,Beef Burger,Burgers,1,14,14,6.0
2026-01-03,ORD-22654,Soda,Drinks,1,3,3,0.5
2026-01-03,ORD-28120,Coffee,Drinks,3,4,12,3.0
2026-01-03,ORD-21838,Beef Burger,Burgers,3,14,42,18.0
2026-01-03,ORD-82665,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-03,ORD-58936,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-03,ORD-84514,Coffee,Drinks,2,4,8,2.0
2026-01-03,ORD-70958,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-19064,Soda,Drinks,3,3,9,1.5
2026-01-03,ORD-57952,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-03,ORD-68880,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-03,ORD-18943,Coffee,Drinks,2,4,8,2.0
2026-01-03,ORD-43500,French Fries,Sides,2,5,10,3.0
2026-01-03,ORD-39982,Bruschetta,Appetizers,1,7,7,2.5
2026-01-03,ORD-85821,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-04,ORD-99156,Beef Burger,Burgers,1,14,14,6.0
2026-01-04,ORD-58436,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-04,ORD-55615,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-04,ORD-14677,Caesar Salad,Salads,2,12,24,8.0
2026-01-04,ORD-18850,Coffee,Drinks,1,4,4,1.0
2026-01-04,ORD-69865,Tiramisu,Desserts,1,8,8,3.0
2026-01-04,ORD-85822,Soda,Drinks,1,3,3,0.5
2026-01-04,ORD-88096,French Fries,Sides,2,5,10,3.0
2026-01-04,ORD-65876,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-04,ORD-69321,French Fries,Sides,3,5,15,4.5
2026-01-04,ORD-29761,Caesar Salad,Salads,3,12,36,12.0
2026-01-04,ORD-99594,French Fries,Sides,1,5,5,1.5
2026-01-04,ORD-62774,Chicken Wings,Appetizers,2,10,20,8.0
2026-01-04,ORD-46848,Margherita Pizza,Pizza,4,15,60,20.0
2026-01-04,ORD-85975,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-04,ORD-57929,Soda,Drinks,1,3,3,0.5
2026-01-04,ORD-97071,Tiramisu,Desserts,1,8,8,3.0
2026-01-04,ORD-74786,Tiramisu,Desserts,2,8,16,6.0
2026-01-04,ORD-33477,Coffee,Drinks,3,4,12,3.0
2026-01-04,ORD-84613,Soda,Drinks,3,3,9,1.5
2026-01-04,ORD-22702,Coffee,Drinks,1,4,4,1.0
2026-01-04,ORD-56340,Caesar Salad,Salads,3,12,36,12.0
2026-01-04,ORD-12158,Tiramisu,Desserts,3,8,24,9.0
2026-01-04,ORD-38838,Caesar Salad,Salads,1,12,12,4.0
2026-01-04,ORD-69014,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-04,ORD-28915,Soda,Drinks,2,3,6,1.0
2026-01-04,ORD-48748,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-04,ORD-57163,Coffee,Drinks,3,4,12,3.0
2026-01-04,ORD-19013,French Fries,Sides,3,5,15,4.5
2026-01-04,ORD-33139,Coffee,Drinks,3,4,12,3.0
2026-01-04,ORD-40931,Beef Burger,Burgers,1,14,14,6.0
2026-01-04,ORD-80374,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-04,ORD-69885,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-04,ORD-76930,Soda,Drinks,1,3,3,0.5
2026-01-04,ORD-25599,Coffee,Drinks,3,4,12,3.0
2026-01-04,ORD-48031,Bruschetta,Appetizers,1,7,7,2.5
2026-01-04,ORD-45466,Soda,Drinks,2,3,6,1.0
2026-01-04,ORD-65324,Soda,Drinks,3,3,9,1.5
2026-01-04,ORD-99002,Coffee,Drinks,3,4,12,3.0
2026-01-04,ORD-80325,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-04,ORD-21059,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-04,ORD-95510,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-04,ORD-26203,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-04,ORD-72970,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-04,ORD-74200,Tiramisu,Desserts,1,8,8,3.0
2026-01-04,ORD-63775,French Fries,Sides,3,5,15,4.5
2026-01-04,ORD-86148,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-04,ORD-90826,Pepperoni Pizza,Pizza,2,18,36,12.0
2026-01-04,ORD-73073,Beef Burger,Burgers,1,14,14,6.0
2026-01-04,ORD-26897,Coffee,Drinks,2,4,8,2.0
2026-01-04,ORD-56931,Tiramisu,Desserts,1,8,8,3.0
2026-01-04,ORD-70578,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-04,ORD-15736,Coffee,Drinks,1,4,4,1.0
2026-01-04,ORD-54990,Soda,Drinks,2,3,6,1.0
2026-01-04,ORD-95676,Pepperoni Pizza,Pizza,3,18,54,18.0
2026-01-04,ORD-48963,Beef Burger,Burgers,1,14,14,6.0
2026-01-04,ORD-73383,Coffee,Drinks,3,4,12,3.0
2026-01-04,ORD-67181,Margherita Pizza,Pizza,5,15,75,25.0
2026-01-04,ORD-54265,Soda,Drinks,1,3,3,0.5
2026-01-04,ORD-40970,Tiramisu,Desserts,1,8,8,3.0
2026-01-04,ORD-37098,Bruschetta,Appetizers,1,7,7,2.5
2026-01-04,ORD-67784,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-04,ORD-57202,French Fries,Sides,1,5,5,1.5
2026-01-04,ORD-52989,French Fries,Sides,1,5,5,1.5
2026-01-04,ORD-55075,French Fries,Sides,2,5,10,3.0
2026-01-04,ORD-62224,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-04,ORD-60116,Bruschetta,Appetizers,1,7,7,2.5
2026-01-04,ORD-81807,Chicken Wings,Appetizers,1,10,10,4.0
2026-01-04,ORD-30377,Tiramisu,Desserts,1,8,8,3.0
2026-01-04,ORD-18719,French Fries,Sides,3,5,15,4.5
2026-01-04,ORD-40709,Chicken Wings,Appetizers,3,10,30,12.0
2026-01-04,ORD-42124,Beef Burger,Burgers,3,14,42,18.0
2026-01-04,ORD-21702,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-04,ORD-52886,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-04,ORD-14160,Coffee,Drinks,1,4,4,1.0
2026-01-04,ORD-14501,Beef Burger,Burgers,1,14,14,6.0
2026-01-04,ORD-26164,Margherita Pizza,Pizza,2,15,30,10.0
2026-01-04,ORD-72892,Tiramisu,Desserts,1,8,8,3.0
2026-01-04,ORD-93619,Soda,Drinks,2,3,6,1.0
2026-01-04,ORD-14829,Caesar Salad,Salads,2,12,24,8.0
2026-01-04,ORD-13147,Tiramisu,Desserts,3,8,24,9.0
2026-01-04,ORD-96255,French Fries,Sides,3,5,15,4.5
2026-01-04,ORD-14237,Pepperoni Pizza,Pizza,1,18,18,6.0
2026-01-04,ORD-24405,Tiramisu,Desserts,3,8,24,9.0
2026-01-04,ORD-61837,Coffee,Drinks,2,4,8,2.0
2026-01-04,ORD-76779,Margherita Pizza,Pizza,3,15,45,15.0
2026-01-04,ORD-58615,French Fries,Sides,1,5,5,1.5
2026-01-04,ORD-56657,French Fries,Sides,3,5,15,4.5
