Date,Invoice #,Customer Name,Product,Qty,Unit Price,Amount,Cost
2026-01-08,INV-481086,Small Dealer 1,Premium Widget,499,150,74850,59880
2026-01-08,INV-748484,Small Dealer 2,Low Stock Item,68,200,13600,8840
2026-01-08,INV-844494,BigBuy Distribution,Gadget Lite,141,90,12690,7755
2026-01-08,INV-823603,SuperStore Inc,Standard Widget,116,80,9280,5800
2026-01-08,INV-140146,MegaMart Corp,Standard Widget,174,80,13920,8700
2026-01-08,INV-102957,BigBuy Distribution,Low Stock Item,128,200,25600,16640
2026-01-08,INV-815970,Small Dealer 7,Gadget Pro,149,250,37250,26075
2026-01-08,INV-579090,BigBuy Distribution,Budget Widget,111,30,3330,1998
2026-01-08,INV-555856,MegaMart Corp,Low Stock Item,68,200,13600,8840
2026-01-08,INV-687469,Small Dealer 5,Gadget Lite,499,90,44910,27445
2026-01-08,INV-535728,BigBuy Distribution,Premium Widget,456,150,68400,54720
2026-01-08,INV-981049,Small Dealer 8,Premium Widget,226,150,33900,27120
2026-01-08,INV-976765,Small Dealer 14,Low Stock Item,207,200,41400,26910
2026-01-08,INV-109699,BigBuy Distribution,Gadget Pro,166,250,41500,29050
2026-01-08,INV-391974,MegaMart Corp,Budget Widget,201,30,6030,3618
2026-01-08,INV-204427,Small Dealer 3,Premium Widget,209,150,31350,25080
2026-01-08,INV-104492,SuperStore Inc,Low Stock Item,247,200,49400,32110
2026-01-08,INV-927094,BigBuy Distribution,Budget Widget,158,30,4740,2844
2026-01-08,INV-445188,Small Dealer 18,Premium Widget,61,150,9150,7320
2026-01-09,INV-278212,SuperStore Inc,Gadget Lite,364,90,32760,20020
2026-01-09,INV-200550,BigBuy Distribution,Standard Widget,161,80,12880,8050
2026-01-09,INV-119040,MegaMart Corp,Budget Widget,428,30,12840,7704
2026-01-09,INV-853755,Small Dealer 14,Premium Widget,384,150,57600,46080
2026-01-09,INV-270318,Small Dealer 4,Budget Widget,438,30,13140,7884
2026-01-09,INV-356421,Small Dealer 12,Standard Widget,367,80,29360,18350
2026-01-09,INV-679521,Small Dealer 5,Gadget Pro,416,250,104000,72800
2026-01-09,INV-674879,Small Dealer 11,Low Stock Item,438,200,87600,56940
2026-01-09,INV-766853,SuperStore Inc,Gadget Pro,237,250,59250,41475
2026-01-09,INV-160047,SuperStore Inc,Budget Widget,388,30,11640,6984
2026-01-09,INV-621083,Small Dealer 28,Gadget Pro,166,250,41500,29050
2026-01-09,INV-809217,Small Dealer 6,Budget Widget,392,30,11760,7056
2026-01-09,INV-211680,SuperStore Inc,Premium Widget,405,150,60750,48600
2026-01-09,INV-956761,SuperStore Inc,Gadget Lite,91,90,8190,5005
2026-01-09,INV-975376,BigBuy Distribution,Gadget Pro,232,250,58000,40600
2026-01-09,INV-678985,SuperStore Inc,Gadget Pro,288,250,72000,50400
2026-01-09,INV-186461,SuperStore Inc,Premium Widget,123,150,18450,14760
2026-01-09,INV-119588,Small Dealer 9,Low Stock Item,310,200,62000,40300
2026-01-09,INV-476170,Small Dealer 1,Budget Widget,475,30,14250,8550
2026-01-09,INV-107332,Small Dealer 18,Gadget Lite,269,90,24210,14795
2026-01-09,INV-990813,MegaMart Corp,Gadget Lite,465,90,41850,25575
2026-01-09,INV-738742,Small Dealer 27,Standard Widget,101,80,8080,5050
2026-01-09,INV-836643,Small Dealer 8,Budget Widget,500,30,15000,9000
2026-01-09,INV-792847,BigBuy Distribution,Gadget Lite,161,90,14490,8855
2026-01-09,INV-441820,Small Dealer 20,Standard Widget,33,80,2640,1650
2026-01-09,INV-564471,Small Dealer 12,Low Stock Item,218,200,43600,28340
2026-01-09,INV-994005,SuperStore Inc,Low Stock Item,320,200,64000,41600
2026-01-09,INV-571033,BigBuy Distribution,Standard Widget,412,80,32960,20600
2026-01-09,INV-119211,Small Dealer 26,Low Stock Item,124,200,24800,16120
2026-01-09,INV-531674,Small Dealer 25,Budget Widget,249,30,7470,4482
2026-01-10,INV-815997,SuperStore Inc,Budget Widget,402,30,12060,7236
2026-01-10,INV-697674,SuperStore Inc,Premium Widget,291,150,43650,34920
2026-01-10,INV-698149,Small Dealer 28,Budget Widget,281,30,8430,5058
2026-01-10,INV-214325,MegaMart Corp,Gadget Lite,397,90,35730,21835
2026-01-10,INV-221934,Small Dealer 22,Standard Widget,102,80,8160,5100
2026-01-10,INV-638986,SuperStore Inc,Premium Widget,13,150,1950,1560
2026-01-10,INV-705832,BigBuy Distribution,Low Stock Item,335,200,67000,43550
2026-01-10,INV-338321,Small Dealer 19,Low Stock Item,379,200,75800,49270
2026-01-10,INV-210968,SuperStore Inc,Budget Widget,209,30,6270,3762
2026-01-10,INV-977764,Small Dealer 24,Standard Widget,384,80,30720,19200
2026-01-10,INV-210239,Small Dealer 20,Standard Widget,248,80,19840,12400
2026-01-11,INV-151001,Small Dealer 11,Gadget Pro,211,250,52750,36925
2026-01-11,INV-321505,Small Dealer 28,Gadget Lite,122,90,10980,6710
2026-01-11,INV-644262,SuperStore Inc,Gadget Pro,286,250,71500,50050
2026-01-11,INV-638301,Small Dealer 29,Gadget Lite,84,90,7560,4620
2026-01-11,INV-744632,BigBuy Distribution,Low Stock Item,450,200,90000,58500
2026-01-11,INV-672625,BigBuy Distribution,Gadget Pro,63,250,15750,11025
2026-01-11,INV-703330,Small Dealer 9,Gadget Lite,130,90,11700,7150
2026-01-11,INV-846338,BigBuy Distribution,Standard Widget,36,80,2880,1800
2026-01-11,INV-104270,Small Dealer 19,Premium Widget,340,150,51000,40800
2026-01-11,INV-745373,SuperStore Inc,Low Stock Item,155,200,31000,20150
2026-01-11,INV-863361,BigBuy Distribution,Gadget Lite,410,90,36900,22550
2026-01-11,INV-427819,Small Dealer 10,Gadget Lite,151,90,13590,8305
2026-01-11,INV-938830,BigBuy Distribution,Gadget Pro,139,250,34750,24325
2026-01-11,INV-573850,MegaMart Corp,Gadget Lite,32,90,2880,1760
2026-01-11,INV-242016,MegaMart Corp,Gadget Pro,228,250,57000,39900
2026-01-11,INV-343541,SuperStore Inc,Budget Widget,344,30,10320,6192
2026-01-11,INV-695638,SuperStore Inc,Gadget Lite,191,90,17190,10505
2026-01-11,INV-939209,SuperStore Inc,Premium Widget,489,150,73350,58680
2026-01-11,INV-783943,Small Dealer 8,Budget Widget,306,30,9180,5508
2026-01-11,INV-445390,Small Dealer 7,Low Stock Item,274,200,54800,35620
2026-01-11,INV-695267,Small Dealer 21,Gadget Pro,451,250,112750,78925
2026-01-11,INV-838242,Small Dealer 15,Gadget Lite,320,90,28800,17600
2026-01-11,INV-996608,Small Dealer 14,Budget Widget,269,30,8070,4842
2026-01-11,INV-804570,BigBuy Distribution,Gadget Lite,124,90,11160,6820
2026-01-11,INV-678985,SuperStore Inc,Gadget Pro,418,250,104500,73150
2026-01-11,INV-963828,SuperStore Inc,Low Stock Item,168,200,33600,21840
2026-01-11,INV-612549,SuperStore Inc,Gadget Pro,29,250,7250,5075
2026-01-11,INV-564368,Small Dealer 23,Standard Widget,39,80,3120,1950
2026-01-11,INV-981010,Small Dealer 4,Gadget Lite,361,90,32490,19855
2026-01-11,INV-819409,SuperStore Inc,Premium Widget,460,150,69000,55200
2026-01-12,INV-773100,Small Dealer 11,Gadget Pro,23,250,5750,4025
2026-01-12,INV-328497,SuperStore Inc,Low Stock Item,283,200,56600,36790
2026-01-12,INV-306958,MegaMart Corp,Standard Widget,107,80,8560,5350
2026-01-12,INV-114317,Small Dealer 17,Budget Widget,154,30,4620,2772
2026-01-12,INV-815252,MegaMart Corp,Low Stock Item,180,200,36000,23400
2026-01-12,INV-191224,Small Dealer 24,Standard Widget,124,80,9920,6200
2026-01-12,INV-940079,Small Dealer 5,Gadget Lite,359,90,32310,19745
2026-01-12,INV-349448,MegaMart Corp,Standard Widget,244,80,19520,12200
2026-01-12,INV-948153,BigBuy Distribution,Gadget Pro,179,250,44750,31325
2026-01-12,INV-234174,MegaMart Corp,Standard Widget,81,80,6480,4050
2026-01-12,INV-135001,BigBuy Distribution,Budget Widget,463,30,13890,8334
2026-01-12,INV-486027,BigBuy Distribution,Budget Widget,170,30,5100,3060
2026-01-12,INV-256024,SuperStore Inc,Premium Widget,477,150,71550,57240
2026-01-12,INV-363692,SuperStore Inc,Premium Widget,250,150,37500,30000
2026-01-12,INV-931486,SuperStore Inc,Budget Widget,145,30,4350,2610
2026-01-12,INV-938017,SuperStore Inc,Gadget Lite,250,90,22500,13750
2026-01-12,INV-691101,MegaMart Corp,Premium Widget,292,150,43800,35040
2026-01-12,INV-765706,BigBuy Distribution,Low Stock Item,57,200,11400,7410
2026-01-12,INV-923861,BigBuy Distribution,Gadget Pro,396,250,99000,69300
2026-01-12,INV-558856,SuperStore Inc,Budget Widget,25,30,750,450
2026-01-12,INV-256685,Small Dealer 4,Standard Widget,96,80,7680,4800
2026-01-12,INV-788091,Small Dealer 18,Gadget Pro,131,250,32750,22925
2026-01-12,INV-410420,Small Dealer 1,Budget Widget,207,30,6210,3726
2026-01-12,INV-360395,BigBuy Distribution,Gadget Pro,190,250,47500,33250
2026-01-12,INV-439572,Small Dealer 9,Budget Widget,199,30,5970,3582
2026-01-12,INV-153535,Small Dealer 11,Low Stock Item,180,200,36000,23400
2026-01-12,INV-448997,SuperStore Inc,Standard Widget,371,80,29680,18550
2026-01-13,INV-940968,SuperStore Inc,Declining Product,320,100,32000,20800
2026-01-13,INV-777554,Small Dealer 26,Standard Widget,128,80,10240,6400
2026-01-13,INV-704565,SuperStore Inc,Gadget Lite,108,90,9720,5940
2026-01-13,INV-963481,Small Dealer 2,Budget Widget,357,30,10710,6426
2026-01-13,INV-828006,MegaMart Corp,Low Stock Item,101,200,20200,13130
2026-01-13,INV-544689,Small Dealer 27,Gadget Lite,82,90,7380,4510
2026-01-13,INV-818958,Small Dealer 19,Premium Widget,104,150,15600,12480
2026-01-13,INV-492717,MegaMart Corp,Low Stock Item,237,200,47400,30810
2026-01-13,INV-209244,Small Dealer 22,Premium Widget,215,150,32250,25800
2026-01-13,INV-774564,BigBuy Distribution,Premium Widget,231,150,34650,27720
2026-01-13,INV-856340,Small Dealer 15,Premium Widget,479,150,71850,57480
2026-01-13,INV-281029,SuperStore Inc,Gadget Pro,65,250,16250,11375
2026-01-13,INV-318927,MegaMart Corp,Low Stock Item,444,200,88800,57720
2026-01-13,INV-557623,BigBuy Distribution,Premium Widget,244,150,36600,29280
2026-01-13,INV-291177,MegaMart Corp,Premium Widget,205,150,30750,24600
2026-01-13,INV-819183,Small Dealer 18,Gadget Pro,109,250,27250,19075
2026-01-13,INV-716736,BigBuy Distribution,Gadget Lite,128,90,11520,7040
2026-01-13,INV-876609,Small Dealer 28,Gadget Lite,47,90,4230,2585
2026-01-13,INV-253832,BigBuy Distribution,Declining Product,322,100,32200,20930
2026-01-13,INV-603719,SuperStore Inc,Standard Widget,22,80,1760,1100
2026-01-13,INV-252376,BigBuy Distribution,Standard Widget,462,80,36960,23100
2026-01-14,INV-750581,MegaMart Corp,Budget Widget,156,30,4680,2808
2026-01-14,INV-661457,SuperStore Inc,Gadget Pro,287,250,71750,50225
2026-01-14,INV-674097,Small Dealer 26,Standard Widget,466,80,37280,23300
2026-01-14,INV-827398,BigBuy Distribution,Low Stock Item,435,200,87000,56550
2026-01-14,INV-541857,Small Dealer 1,Premium Widget,95,150,14250,11400
2026-01-14,INV-405278,Small Dealer 18,Premium Widget,471,150,70650,56520
2026-01-14,INV-383903,MegaMart Corp,Gadget Pro,461,250,115250,80675
2026-01-14,INV-537210,MegaMart Corp,Gadget Lite,300,90,27000,16500
2026-01-14,INV-547308,Small Dealer 27,Premium Widget,341,150,51150,40920
2026-01-14,INV-583427,SuperStore Inc,Standard Widget,195,80,15600,9750
2026-01-14,INV-114778,BigBuy Distribution,Low Stock Item,143,200,28600,18590
2026-01-14,INV-385825,BigBuy Distribution,Gadget Pro,320,250,80000,56000
2026-01-14,INV-744687,Small Dealer 14,Premium Widget,82,150,12300,9840
2026-01-14,INV-672266,BigBuy Distribution,Declining Product,88,100,8800,5720
2026-01-14,INV-934210,SuperStore Inc,Low Stock Item,41,200,8200,5330
2026-01-14,INV-520535,BigBuy Distribution,Gadget Lite,85,90,7650,4675
2026-01-14,INV-892607,Small Dealer 3,Gadget Pro,339,250,84750,59325
2026-01-14,INV-641008,SuperStore Inc,Premium Widget,340,150,51000,40800
2026-01-14,INV-864030,Small Dealer 2,Budget Widget,208,30,6240,3744
2026-01-15,INV-311041,BigBuy Distribution,Premium Widget,416,150,62400,49920
2026-01-15,INV-485542,Small Dealer 28,Low Stock Item,439,200,87800,57070
2026-01-15,INV-898754,MegaMart Corp,Standard Widget,399,80,31920,19950
2026-01-15,INV-478497,Small Dealer 5,Low Stock Item,360,200,72000,46800
2026-01-15,INV-383175,SuperStore Inc,Gadget Pro,361,250,90250,63175
2026-01-15,INV-188857,SuperStore Inc,Gadget Lite,19,90,1710,1045
2026-01-15,INV-813989,MegaMart Corp,Low Stock Item,294,200,58800,38220
2026-01-15,INV-102897,MegaMart Corp,Low Stock Item,235,200,47000,30550
2026-01-15,INV-609501,BigBuy Distribution,Gadget Pro,214,250,53500,37450
2026-01-15,INV-141323,Small Dealer 4,Budget Widget,97,30,2910,1746
2026-01-15,INV-157476,BigBuy Distribution,Premium Widget,380,150,57000,45600
2026-01-15,INV-337071,SuperStore Inc,Premium Widget,155,150,23250,18600
2026-01-15,INV-867567,BigBuy Distribution,Low Stock Item,200,200,40000,26000
2026-01-15,INV-968931,MegaMart Corp,Premium Widget,27,150,4050,3240
2026-01-15,INV-591763,MegaMart Corp,Premium Widget,356,150,53400,42720
2026-01-15,INV-490305,BigBuy Distribution,Standard Widget,16,80,1280,800
2026-01-15,INV-692808,SuperStore Inc,Gadget Pro,157,250,39250,27475
2026-01-15,INV-757161,BigBuy Distribution,Gadget Lite,486,90,43740,26730
2026-01-15,INV-134364,BigBuy Distribution,Low Stock Item,99,200,19800,12870
2026-01-15,INV-593531,BigBuy Distribution,Standard Widget,327,80,26160,16350
2026-01-15,INV-596365,BigBuy Distribution,Gadget Lite,318,90,28620,17490
2026-01-15,INV-785719,SuperStore Inc,Gadget Pro,364,250,91000,63700
2026-01-15,INV-728250,Small Dealer 11,Gadget Pro,127,250,31750,22225
2026-01-15,INV-573227,BigBuy Distribution,Gadget Lite,393,90,35370,21615
2026-01-15,INV-275110,Small Dealer 9,Gadget Lite,399,90,35910,21945
2026-01-15,INV-813510,SuperStore Inc,Gadget Pro,357,250,89250,62475
2026-01-16,INV-273815,Small Dealer 9,Gadget Pro,342,250,85500,59850
2026-01-16,INV-405891,BigBuy Distribution,Standard Widget,235,80,18800,11750
2026-01-16,INV-197429,BigBuy Distribution,Gadget Lite,197,90,17730,10835
2026-01-16,INV-918913,Small Dealer 7,Standard Widget,244,80,19520,12200
2026-01-16,INV-565713,Small Dealer 25,Standard Widget,454,80,36320,22700
2026-01-16,INV-877580,Small Dealer 26,Gadget Lite,212,90,19080,11660
2026-01-16,INV-497746,BigBuy Distribution,Low Stock Item,239,200,47800,31070
2026-01-16,INV-495023,BigBuy Distribution,Gadget Pro,471,250,117750,82425
2026-01-16,INV-435786,Small Dealer 1,Gadget Lite,281,90,25290,15455
2026-01-16,INV-580043,MegaMart Corp,Gadget Lite,417,90,37530,22935
2026-01-16,INV-480811,BigBuy Distribution,Premium Widget,419,150,62850,50280
2026-01-16,INV-641286,BigBuy Distribution,Gadget Pro,210,250,52500,36750
2026-01-16,INV-742016,SuperStore Inc,Budget Widget,311,30,9330,5598
2026-01-16,INV-959294,MegaMart Corp,Standard Widget,499,80,39920,24950
2026-01-16,INV-367902,Small Dealer 22,Budget Widget,237,30,7110,4266
2026-01-16,INV-705614,MegaMart Corp,Low Stock Item,326,200,65200,42380
2026-01-16,INV-492047,MegaMart Corp,Standard Widget,142,80,11360,7100
2026-01-16,INV-872420,Small Dealer 11,Standard Widget,235,80,18800,11750
2026-01-16,INV-825063,MegaMart Corp,Premium Widget,56,150,8400,6720
2026-01-16,INV-939574,Small Dealer 23,Low Stock Item,200,200,40000,26000
2026-01-16,INV-530292,Small Dealer 3,Low Stock Item,138,200,27600,17940
2026-01-16,INV-680809,Small Dealer 29,Low Stock Item,322,200,64400,41860
2026-01-16,INV-333174,Small Dealer 24,Budget Widget,315,30,9450,5670
2026-01-16,INV-966913,Small Dealer 3,Standard Widget,192,80,15360,9600
2026-01-16,INV-319828,MegaMart Corp,Low Stock Item,350,200,70000,45500
2026-01-16,INV-992780,SuperStore Inc,Gadget Pro,489,250,122250,85575
2026-01-17,INV-788538,MegaMart Corp,Standard Widget,85,80,6800,4250
2026-01-17,INV-746132,Small Dealer 9,Standard Widget,187,80,14960,9350
2026-01-17,INV-240777,Small Dealer 16,Gadget Pro,487,250,121750,85225
2026-01-17,INV-966369,SuperStore Inc,Budget Widget,289,30,8670,5202
2026-01-17,INV-607793,BigBuy Distribution,Low Stock Item,455,200,91000,59150
2026-01-17,INV-853151,Small Dealer 18,Gadget Lite,62,90,5580,3410
2026-01-17,INV-943438,MegaMart Corp,Gadget Lite,398,90,35820,21890
2026-01-17,INV-864248,BigBuy Distribution,Budget Widget,321,30,9630,5778
2026-01-17,INV-105158,SuperStore Inc,Budget Widget,207,30,6210,3726
2026-01-17,INV-577801,BigBuy Distribution,Standard Widget,488,80,39040,24400
2026-01-17,INV-364314,Small Dealer 16,Gadget Pro,290,250,72500,50750
2026-01-17,INV-374989,Small Dealer 26,Standard Widget,51,80,4080,2550
2026-01-17,INV-452268,SuperStore Inc,Standard Widget,265,80,21200,13250
2026-01-17,INV-251054,SuperStore Inc,Budget Widget,419,30,12570,7542
2026-01-17,INV-627902,Small Dealer 14,Low Stock Item,480,200,96000,62400
2026-01-17,INV-573871,BigBuy Distribution,Budget Widget,462,30,13860,8316
2026-01-17,INV-104478,Small Dealer 3,Standard Widget,152,80,12160,7600
2026-01-17,INV-709479,BigBuy Distribution,Standard Widget,379,80,30320,18950
