Date,Invoice Number,Customer,Product,Quantity,Unit Price,Revenue,Cost
2026-01-03,INV-80697,Customer Epsilon,Gadget Y,26,84.89,2207.14,1745.03
2026-01-03,INV-57576,Customer Alpha,Gadget Y,77,168.84,13000.68,7863.71
2026-01-03,INV-20322,Customer Beta,Widget C,8,128.03,1024.24,759.82
2026-01-03,INV-26483,Customer Delta,Widget A,9,489.21,4402.89,3228.1
2026-01-04,INV-65461,Customer Epsilon,Gadget X,22,139.88,3077.36,2517.61
2026-01-04,INV-50857,Customer Epsilon,Widget B,97,367.67,35663.99,23191.86
2026-01-04,INV-42493,Customer Gamma,Gadget X,57,450.81,25696.17,18318.07
2026-01-04,INV-87128,Customer Alpha,Widget B,44,20.31,893.64,659.94
2026-01-04,INV-18834,Customer Alpha,Widget B,10,356.84,3568.4,2193.56
2026-01-04,INV-73624,Customer Gamma,Widget A,10,261.94,2619.4,1754.0
2026-01-04,INV-85525,Customer Epsilon,Widget B,17,364.44,6195.48,5083.98
2026-01-04,INV-22704,Customer Beta,Gadget X,61,405.67,24745.87,16025.49
2026-01-04,INV-17100,Customer Gamma,Gadget X,55,211.44,11629.2,9488.95
2026-01-05,INV-42591,Customer Delta,Widget A,94,176.26,16568.44,13510.21
2026-01-05,INV-46509,Customer Beta,Widget B,69,229.82,15857.58,11187.05
2026-01-05,INV-82132,Customer Beta,Gadget X,10,227.13,2271.3,1851.88
2026-01-05,INV-22224,Customer Alpha,Widget A,84,499.65,41970.6,33954.5
2026-01-05,INV-62565,Customer Beta,Widget B,53,247.96,13141.88,8587.39
2026-01-05,INV-69638,Customer Beta,Widget A,49,11.06,541.94,378.06
2026-01-05,INV-82845,Customer Delta,Widget C,90,479.09,43118.1,36601.04
2026-01-05,INV-85914,Customer Beta,Gadget X,25,155.39,3884.75,3271.65
2026-01-06,INV-79615,Customer Alpha,Widget C,7,296.25,2073.75,1504.95
2026-01-06,INV-87992,Customer Alpha,Widget B,66,49.25,3250.5,2101.31
2026-01-06,INV-42271,Customer Beta,Widget A,52,68.74,3574.48,2940.27
2026-01-06,INV-86503,Customer Epsilon,Gadget Y,6,313.5,1881.0,1325.74
2026-01-06,INV-51180,Customer Epsilon,Gadget Y,41,468.01,19188.41,12492.9
2026-01-06,INV-69929,Customer Gamma,Widget B,51,74.13,3780.63,2878.48
2026-01-07,INV-23104,Customer Alpha,Widget A,59,314.37,18547.83,13739.28
2026-01-07,INV-55745,Customer Epsilon,Widget A,28,257.88,7220.64,4571.49
2026-01-07,INV-81200,Customer Beta,Widget A,48,149.64,7182.72,5096.47
2026-01-07,INV-82692,Customer Epsilon,Widget C,84,269.18,22611.12,17341.96
2026-01-07,INV-82512,Customer Alpha,Widget C,18,139.59,2512.62,2066.45
2026-01-07,INV-36685,Customer Gamma,Widget B,37,306.37,11335.69,8835.07
2026-01-07,INV-16658,Customer Epsilon,Widget C,63,133.05,8382.15,6932.37
2026-01-07,INV-27146,Customer Delta,Widget A,36,31.6,1137.6,777.42
2026-01-07,INV-83519,Customer Beta,Widget C,95,226.5,21517.5,16706.55
2026-01-07,INV-29536,Customer Alpha,Widget A,10,473.07,4730.7,3655.67
2026-01-07,INV-26704,Customer Alpha,Gadget Y,48,295.43,14180.64,9033.4
2026-01-07,INV-15229,Customer Gamma,Widget A,47,450.5,21173.5,16918.27
2026-01-07,INV-83385,Customer Beta,Widget C,88,132.27,11639.76,7282.98
2026-01-07,INV-31299,Customer Epsilon,Gadget X,96,85.73,8230.08,6851.3
2026-01-07,INV-63964,Customer Delta,Widget B,4,97.89,391.56,325.43
2026-01-08,INV-71694,Customer Beta,Widget C,90,62.97,5667.3,4636.09
2026-01-08,INV-39831,Customer Beta,Widget B,59,181.33,10698.47,8613.7
2026-01-08,INV-19099,Customer Alpha,Widget B,85,104.63,8893.55,6065.98
2026-01-08,INV-80282,Customer Gamma,Widget C,83,259.61,21547.63,16589.08
2026-01-08,INV-86099,Customer Alpha,Widget C,15,439.75,6596.25,4388.51
2026-01-08,INV-51114,Customer Alpha,Widget C,14,302.32,4232.48,2905.27
2026-01-08,INV-34914,Customer Epsilon,Gadget X,66,66.67,4400.22,3629.64
2026-01-08,INV-80575,Customer Alpha,Widget C,91,223.67,20353.97,14857.99
2026-01-08,INV-53279,Customer Gamma,Widget B,56,44.29,2480.24,1900.01
2026-01-08,INV-49363,Customer Gamma,Gadget Y,85,425.53,36170.05,28210.42
2026-01-08,INV-48752,Customer Gamma,Gadget Y,86,210.11,18069.46,12659.47
2026-01-08,INV-98777,Customer Beta,Gadget Y,25,216.02,5400.5,4509.91
2026-01-09,INV-49829,Customer Epsilon,Gadget Y,39,208.98,8150.22,6588.89
2026-01-09,INV-52237,Customer Beta,Widget C,56,395.02,22121.12,16627.68
2026-01-09,INV-32241,Customer Delta,Gadget X,57,341.06,19440.42,14148.61
2026-01-09,INV-22240,Customer Gamma,Widget A,66,335.29,22129.14,16703.41
2026-01-09,INV-16057,Customer Gamma,Widget B,29,405.22,11751.38,7483.73
2026-01-09,INV-64321,Customer Delta,Widget B,79,426.37,33683.23,20823.21
2026-01-09,INV-41979,Customer Beta,Gadget Y,92,351.21,32311.32,23380.29
2026-01-09,INV-65724,Customer Alpha,Widget B,97,431.62,41867.14,34388.26
2026-01-09,INV-42662,Customer Beta,Widget B,90,263.8,23742.0,14543.27
2026-01-09,INV-83259,Customer Delta,Widget A,18,402.69,7248.42,5558.77
2026-01-10,INV-81810,Customer Epsilon,Gadget X,93,447.09,41579.37,29383.52
2026-01-10,INV-42406,Customer Beta,Gadget X,96,432.13,41484.48,29558.42
2026-01-10,INV-20155,Customer Epsilon,Widget C,63,317.11,19977.93,13358.23
2026-01-10,INV-20561,Customer Beta,Widget C,35,174.57,6109.95,5030.06
2026-01-10,INV-38043,Customer Beta,Widget B,30,197.69,5930.7,3784.98
2026-01-10,INV-18161,Customer Delta,Widget A,53,172.13,9122.89,6536.38
2026-01-10,INV-12560,Customer Delta,Widget B,50,453.37,22668.5,16911.15
2026-01-10,INV-61116,Customer Delta,Gadget Y,62,12.89,799.18,549.79
2026-01-10,INV-38906,Customer Epsilon,Gadget X,96,369.97,35517.12,28412.53
2026-01-10,INV-54057,Customer Beta,Gadget X,35,223.56,7824.6,4751.54
2026-01-10,INV-80008,Customer Beta,Gadget X,60,460.58,27634.8,23356.39
2026-01-10,INV-94246,Customer Delta,Widget A,76,286.55,21777.8,13214.24
2026-01-10,INV-52906,Customer Beta,Gadget X,60,99.05,5943.0,3952.33
2026-01-10,INV-46471,Customer Delta,Widget B,42,175.38,7365.96,6039.42
2026-01-10,INV-16826,Customer Gamma,Gadget X,11,240.45,2644.95,2082.25
2026-01-11,INV-14067,Customer Alpha,Widget B,100,479.07,47907.0,29226.36
2026-01-11,INV-72070,Customer Beta,Widget B,3,314.45,943.35,622.27
2026-01-11,INV-58351,Customer Epsilon,Widget A,28,237.87,6660.36,4422.88
2026-01-11,INV-31465,Customer Epsilon,Widget B,78,482.23,37613.94,29323.43
2026-01-11,INV-98781,Customer Alpha,Widget C,75,22.58,1693.5,1148.17
2026-01-11,INV-92213,Customer Delta,Gadget X,92,107.18,9860.56,7375.94
2026-01-11,INV-88697,Customer Alpha,Widget B,90,388.52,34966.8,28413.09
2026-01-11,INV-58571,Customer Epsilon,Widget A,6,180.13,1080.78,764.21
2026-01-11,INV-74251,Customer Epsilon,Widget A,83,177.2,14707.6,11948.36
2026-01-11,INV-30052,Customer Delta,Widget A,47,321.44,15107.68,12194.57
2026-01-11,INV-90728,Customer Beta,Gadget X,94,265.66,24972.04,19044.04
2026-01-11,INV-45179,Customer Delta,Gadget Y,60,223.43,13405.8,10493.48
2026-01-11,INV-70910,Customer Beta,Widget C,12,146.67,1760.04,1254.38
2026-01-11,INV-52600,Customer Epsilon,Gadget Y,86,195.7,16830.2,10218.88
2026-01-11,INV-46655,Customer Delta,Widget B,28,183.86,5148.08,3421.35
2026-01-11,INV-21221,Customer Gamma,Gadget Y,72,14.97,1077.84,902.17
2026-01-12,INV-94659,Customer Delta,Gadget X,72,381.5,27468.0,21223.21
2026-01-12,INV-41890,Customer Delta,Gadget X,3,55.6,166.8,109.32
2026-01-12,INV-65771,Customer Epsilon,Widget C,48,241.9,11611.2,8507.88
2026-01-12,INV-42951,Customer Gamma,Gadget Y,46,354.4,16302.4,10885.59
2026-01-12,INV-80236,Customer Alpha,Widget B,93,104.37,9706.41,6113.96
2026-01-12,INV-87278,Customer Beta,Widget B,28,371.92,10413.76,6968.11
2026-01-12,INV-48829,Customer Epsilon,Gadget Y,37,490.45,18146.65,14665.34
2026-01-12,INV-26591,Customer Gamma,Widget B,23,158.11,3636.53,2825.6
2026-01-12,INV-26551,Customer Alpha,Widget C,7,281.15,1968.05,1523.97
2026-01-12,INV-67733,Customer Alpha,Gadget X,2,291.29,582.58,417.91
2026-01-12,INV-24953,Customer Beta,Widget C,7,133.71,935.97,763.22
2026-01-12,INV-17026,Customer Delta,Widget A,63,46.3,2916.9,2209.15
2026-01-13,INV-83147,Customer Epsilon,Widget B,39,51.74,2017.86,1335.92
2026-01-13,INV-78494,Customer Epsilon,Gadget X,77,397.46,30604.42,20089.41
2026-01-13,INV-66207,Customer Delta,Gadget X,57,155.7,8874.9,6630.72
2026-01-13,INV-23006,Customer Epsilon,Widget C,80,39.51,3160.8,2655.16
2026-01-13,INV-32782,Customer Beta,Widget B,34,333.61,11342.74,7251.01
2026-01-13,INV-87832,Customer Alpha,Gadget Y,21,11.31,237.51,169.26
2026-01-13,INV-69510,Customer Gamma,Gadget X,5,123.42,617.1,479.33
2026-01-13,INV-96662,Customer Beta,Widget A,34,396.04,13465.36,10183.37
2026-01-13,INV-44816,Customer Delta,Widget B,15,276.84,4152.6,3163.9
2026-01-14,INV-84607,Customer Alpha,Widget A,22,398.39,8764.58,6562.58
2026-01-14,INV-62757,Customer Delta,Widget C,16,239.66,3834.56,2592.25
2026-01-14,INV-15224,Customer Epsilon,Widget C,70,251.96,17637.2,10937.01
2026-01-14,INV-98381,Customer Gamma,Gadget X,78,132.68,10349.04,6445.71
2026-01-14,INV-45325,Customer Epsilon,Gadget Y,3,499.79,1499.37,1151.62
2026-01-14,INV-95394,Customer Alpha,Gadget Y,98,380.57,37295.86,26764.45
2026-01-14,INV-74451,Customer Gamma,Gadget X,24,498.5,11964.0,8482.13
2026-01-14,INV-23710,Customer Delta,Widget A,45,210.09,9454.05,6431.26
2026-01-14,INV-62488,Customer Gamma,Widget B,53,349.9,18544.7,12463.05
2026-01-15,INV-62976,Customer Alpha,Gadget X,41,133.68,5480.88,3447.37
2026-01-15,INV-17104,Customer Alpha,Gadget Y,85,435.99,37059.15,26515.6
2026-01-15,INV-67939,Customer Epsilon,Widget B,47,315.09,14809.23,10731.11
2026-01-15,INV-67424,Customer Beta,Widget A,35,279.12,9769.2,8127.18
2026-01-15,INV-41365,Customer Alpha,Gadget X,4,486.84,1947.36,1464.84
2026-01-15,INV-39451,Customer Gamma,Widget B,71,16.7,1185.7,832.36
2026-01-16,INV-48254,Customer Alpha,Gadget X,83,417.75,34673.25,25124.02
2026-01-16,INV-41946,Customer Gamma,Gadget Y,54,419.01,22626.54,19120.81
2026-01-16,INV-76616,Customer Epsilon,Gadget X,19,197.96,3761.24,3123.59
2026-01-16,INV-54548,Customer Alpha,Widget B,36,388.61,13989.96,11382.27
2026-01-16,INV-86931,Customer Gamma,Gadget Y,1,148.59,148.59,100.24
2026-01-16,INV-53573,Customer Delta,Gadget Y,20,228.81,4576.2,3299.83
2026-01-16,INV-34727,Customer Epsilon,Gadget Y,49,233.12,11422.88,7772.63
2026-01-16,INV-15720,Customer Epsilon,Widget B,50,124.45,6222.5,4939.96
2026-01-17,INV-95461,Customer Delta,Gadget X,50,494.32,24716.0,19725.8
2026-01-17,INV-53515,Customer Delta,Widget B,5,71.86,359.3,302.29
2026-01-17,INV-28894,Customer Delta,Widget A,13,267.72,3480.36,2485.78
2026-01-17,INV-54375,Customer Beta,Gadget X,10,240.05,2400.5,2021.94
2026-01-17,INV-98389,Customer Delta,Gadget Y,84,49.35,4145.4,2827.75
2026-01-17,INV-73956,Customer Delta,Gadget Y,41,317.13,13002.33,10686.09
2026-01-17,INV-47667,Customer Alpha,Gadget Y,80,43.53,3482.4,2638.93
2026-01-17,INV-23173,Customer Alpha,Widget B,56,489.39,27405.84,21653.15
2026-01-17,INV-52516,Customer Beta,Gadget X,89,156.74,13949.86,8470.87
2026-01-17,INV-79621,Customer Gamma,Widget A,46,193.67,8908.82,5669.51
2026-01-17,INV-20350,Customer Epsilon,Gadget X,88,398.33,35053.04,22521.43
2026-01-17,INV-86435,Customer Delta,Gadget Y,80,344.74,27579.2,19978.84
2026-01-17,INV-97404,Customer Beta,Widget B,60,322.57,19354.2,13836.17
2026-01-17,INV-67898,Customer Delta,Widget A,37,342.03,12655.11,8092.87
2026-01-17,INV-42780,Customer Epsilon,Widget C,39,323.08,12600.12,8896.66
2026-01-18,INV-59986,Customer Beta,Widget C,50,428.13,21406.5,13414.67
2026-01-18,INV-12875,Customer Gamma,Gadget Y,74,154.98,11468.52,8886.04
2026-01-18,INV-16428,Customer Gamma,Gadget X,2,287.31,574.62,443.29
2026-01-18,INV-56179,Customer Delta,Gadget Y,37,390.11,14434.07,9490.83
2026-01-18,INV-96400,Customer Beta,Widget B,80,132.81,10624.8,8381.84
2026-01-18,INV-67779,Customer Alpha,Widget B,81,326.71,26463.51,17921.97
2026-01-18,INV-48680,Customer Epsilon,Widget A,47,368.86,17336.42,10792.5
2026-01-18,INV-57953,Customer Delta,Widget C,23,108.39,2492.97,1985.97
2026-01-18,INV-73156,Customer Epsilon,Gadget Y,35,416.93,14592.55,9692.99
2026-01-18,INV-39571,Customer Gamma,Widget C,15,239.48,3592.2,2222.94
2026-01-18,INV-44663,Customer Epsilon,Gadget X,47,54.25,2549.75,1781.37
2026-01-18,INV-44362,Customer Alpha,Gadget Y,59,190.61,11245.99,8853.44
2026-01-18,INV-40647,Customer Delta,Gadget Y,82,470.74,38600.68,24205.97
2026-01-18,INV-89964,Customer Alpha,Gadget X,80,443.28,35462.4,26254.65
2026-01-18,INV-49608,Customer Alpha,Widget B,82,413.69,33922.58,28065.74
2026-01-18,INV-74569,Customer Alpha,Gadget X,18,32.22,579.96,353.37
2026-01-18,INV-69459,Customer Alpha,Widget A,31,444.76,13787.56,8740.16
2026-01-18,INV-64379,Customer Epsilon,Widget C,54,297.8,16081.2,12569.87
2026-01-18,INV-14288,Customer Delta,Widget A,79,209.98,16588.42,13899.11
2026-01-19,INV-23022,Customer Delta,Widget B,57,475.77,27118.89,22071.05
2026-01-19,INV-34878,Customer Epsilon,Widget C,83,185.75,15417.25,10784.9
2026-01-19,INV-88269,Customer Delta,Widget A,12,334.76,4017.12,3054.72
2026-01-19,INV-84000,Customer Alpha,Widget A,43,129.35,5562.05,3512.33
2026-01-19,INV-40539,Customer Alpha,Widget B,98,281.56,27592.88,20600.73
2026-01-19,INV-28964,Customer Beta,Widget C,77,11.39,877.03,714.43
2026-01-19,INV-13379,Customer Epsilon,Widget B,33,401.27,13241.91,8309.05
2026-01-19,INV-52437,Customer Alpha,Widget B,46,397.09,18266.14,12046.21
2026-01-19,INV-78955,Customer Beta,Widget A,34,35.68,1213.12,952.82
2026-01-19,INV-87812,Customer Alpha,Widget A,61,229.65,14008.65,9673.11
2026-01-19,INV-96363,Customer Delta,Widget A,65,118.56,7706.4,5808.9
2026-01-19,INV-72781,Customer Gamma,Gadget Y,59,325.24,19189.16,11662.93
2026-01-19,INV-68138,Customer Delta,Gadget X,88,62.9,5535.2,4306.94
2026-01-19,INV-46046,Customer Alpha,Widget A,42,308.07,12938.94,7975.83
2026-01-19,INV-88301,Customer Epsilon,Gadget Y,71,358.95,25485.45,17718.15
2026-01-19,INV-24996,Customer Gamma,Gadget Y,59,257.72,15205.48,10758.63
2026-01-20,INV-62262,Customer Delta,Gadget X,30,212.77,6383.1,5150.23
2026-01-20,INV-59060,Customer Alpha,Gadget X,41,219.11,8983.51,6883.86
2026-01-20,INV-66606,Customer Delta,Widget B,9,54.7,492.3,305.89
2026-01-20,INV-83608,Customer Gamma,Widget A,17,282.62,4804.54,3587.15
2026-01-20,INV-97207,Customer Gamma,Gadget Y,86,69.89,6010.54,4137.65
2026-01-20,INV-85748,Customer Alpha,Gadget X,37,304.2,11255.4,7742.72
2026-01-20,INV-24184,Customer Beta,Gadget Y,20,331.8,6636.0,4353.62
2026-01-20,INV-39643,Customer Epsilon,Widget C,48,66.29,3181.92,2130.75
2026-01-20,INV-94239,Customer Epsilon,Gadget X,99,411.03,40691.97,30657.06
2026-01-20,INV-45054,Customer Alpha,Gadget Y,78,465.25,36289.5,29298.88
2026-01-20,INV-54541,Customer Beta,Widget A,35,354.32,12401.2,8398.67
2026-01-21,INV-28595,Customer Beta,Widget A,19,287.5,5462.5,3824.82
2026-01-21,INV-69460,Customer Alpha,Widget A,96,269.94,25914.24,17985.74
2026-01-21,INV-84395,Customer Beta,Widget C,48,162.7,7809.6,5319.09
2026-01-21,INV-16522,Customer Alpha,Gadget Y,7,86.23,603.61,476.01
2026-01-21,INV-67939,Customer Gamma,Widget A,57,334.35,19057.95,13748.7
2026-01-21,INV-66349,Customer Gamma,Gadget X,28,379.92,10637.76,6685.35
2026-01-21,INV-97442,Customer Gamma,Widget A,87,342.46,29794.02,21501.1
2026-01-21,INV-11007,Customer Alpha,Widget C,29,203.68,5906.72,4429.04
2026-01-21,INV-47938,Customer Gamma,Widget B,28,386.0,10808.0,8549.56
2026-01-21,INV-26932,Customer Alpha,Widget C,1,253.72,253.72,179.55
2026-01-21,INV-97562,Customer Epsilon,Gadget X,91,122.75,11170.25,8262.42
2026-01-21,INV-12456,Customer Alpha,Widget C,51,432.26,22045.26,13460.3
2026-01-21,INV-93904,Customer Alpha,Gadget X,41,292.12,11976.92,8903.04
2026-01-21,INV-32527,Customer Gamma,Gadget X,15,208.47,3127.05,2631.57
2026-01-21,INV-23875,Customer Delta,Gadget Y,89,460.69,41001.41,25504.21
2026-01-21,INV-50668,Customer Delta,Widget B,76,206.22,15672.72,9711.79
2026-01-22,INV-24945,Customer Gamma,Widget B,100,92.39,9239.0,6722.49
2026-01-22,INV-94599,Customer Epsilon,Gadget Y,25,453.9,11347.5,7799.63
2026-01-22,INV-88957,Customer Beta,Widget B,14,81.76,1144.64,743.24
2026-01-22,INV-70811,Customer Alpha,Widget B,23,476.13,10950.99,8289.76
2026-01-22,INV-94278,Customer Epsilon,Gadget Y,58,343.76,19938.08,16359.43
2026-01-22,INV-71462,Customer Gamma,Gadget Y,81,164.91,13357.71,9483.18
2026-01-22,INV-19724,Customer Gamma,Gadget X,36,299.8,10792.8,7425.29
2026-01-22,INV-47627,Customer Delta,Widget C,58,28.43,1648.94,1141.37
2026-01-22,INV-86064,Customer Alpha,Widget A,79,301.1,23786.9,16558.55
2026-01-22,INV-34672,Customer Alpha,Gadget Y,58,455.43,26414.94,19624.03
2026-01-22,INV-69050,Customer Epsilon,Widget C,61,255.67,15595.87,13091.65
2026-01-22,INV-15130,Customer Gamma,Widget A,92,51.32,4721.44,3595.53
2026-01-22,INV-57696,Customer Delta,Widget B,57,266.79,15207.03,11442.55
2026-01-22,INV-88366,Customer Gamma,Widget C,50,210.3,10515.0,7198.48
2026-01-22,INV-60667,Customer Gamma,Widget A,9,171.55,1543.95,1141.74
2026-01-23,INV-28537,Customer Epsilon,Widget C,20,173.35,3467.0,2585.29
2026-01-23,INV-87993,Customer Gamma,Widget C,84,352.26,29589.84,20653.4
2026-01-23,INV-26750,Customer Gamma,Widget A,72,194.57,14009.04,11178.03
2026-01-23,INV-12389,Customer Alpha,Gadget Y,83,338.52,28097.16,20430.07
2026-01-23,INV-73736,Customer Gamma,Widget C,24,476.07,11425.68,7831.54
2026-01-23,INV-23256,Customer Beta,Widget B,18,85.92,1546.56,1042.3
2026-01-23,INV-54140,Customer Epsilon,Gadget Y,95,443.0,42085.0,25648.15
2026-01-23,INV-91885,Customer Beta,Gadget Y,77,194.59,14983.43,9597.81
2026-01-23,INV-41133,Customer Delta,Widget B,6,211.32,1267.92,975.15
2026-01-23,INV-40671,Customer Epsilon,Gadget X,37,378.67,14010.79,11151.89
2026-01-23,INV-35430,Customer Beta,Gadget Y,40,483.14,19325.6,15384.97
2026-01-23,INV-60052,Customer Epsilon,Widget C,57,236.22,13464.54,9027.21
2026-01-23,INV-89254,Customer Epsilon,Gadget Y,54,483.47,26107.38,20996.15
2026-01-23,INV-82684,Customer Gamma,Widget B,7,324.18,2269.26,1857.46
2026-01-24,INV-68893,Customer Alpha,Gadget Y,37,51.1,1890.7,1210.2
2026-01-24,INV-69130,Customer Beta,Gadget Y,56,54.94,3076.64,2546.31
2026-01-24,INV-40903,Customer Alpha,Widget C,54,36.1,1949.4,1414.29
2026-01-24,INV-22987,Customer Alpha,Gadget X,48,120.02,5760.96,3915.56
2026-01-24,INV-71925,Customer Beta,Widget C,18,28.77,517.86,429.49
2026-01-24,INV-12490,Customer Delta,Widget B,58,311.52,18068.16,14932.69
2026-01-24,INV-79176,Customer Beta,Widget C,20,278.91,5578.2,4361.09
2026-01-24,INV-16258,Customer Alpha,Gadget X,100,151.17,15117.0,10208.33
2026-01-25,INV-75513,Customer Epsilon,Gadget X,59,40.78,2406.02,1946.88
2026-01-25,INV-28818,Customer Epsilon,Gadget Y,3,319.66,958.98,713.25
2026-01-25,INV-64600,Customer Delta,Widget C,1,311.26,311.26,205.48
2026-01-25,INV-78951,Customer Alpha,Widget B,68,487.58,33155.44,20454.25
2026-01-25,INV-71621,Customer Epsilon,Gadget Y,65,281.53,18299.45,12765.94
2026-01-25,INV-18855,Customer Delta,Widget A,48,134.29,6445.92,3893.73
2026-01-25,INV-86271,Customer Beta,Widget C,94,331.98,31206.12,19532.41
2026-01-25,INV-94252,Customer Beta,Widget C,6,182.63,1095.78,750.21
2026-01-25,INV-27675,Customer Delta,Widget B,90,244.48,22003.2,14204.59
2026-01-25,INV-36144,Customer Delta,Widget A,5,153.79,768.95,469.79
2026-01-25,INV-81176,Customer Gamma,Widget A,40,262.54,10501.6,8897.8
2026-01-25,INV-56789,Customer Gamma,Gadget X,5,379.11,1895.55,1227.89
2026-01-26,INV-62431,Customer Gamma,Widget C,16,401.68,6426.88,4558.19
2026-01-26,INV-75211,Customer Delta,Gadget X,44,487.12,21433.28,15518.78
2026-01-26,INV-20345,Customer Epsilon,Widget C,35,402.56,14089.6,11014.83
2026-01-26,INV-20494,Customer Epsilon,Gadget X,24,277.28,6654.72,4527.23
2026-01-26,INV-31842,Customer Gamma,Widget C,40,228.5,9140.0,7123.86
2026-01-26,INV-56210,Customer Gamma,Gadget X,58,30.75,1783.5,1458.03
2026-01-27,INV-77251,Customer Alpha,Widget C,10,338.88,3388.8,2377.42
2026-01-27,INV-67432,Customer Alpha,Widget B,19,425.85,8091.15,6226.32
2026-01-27,INV-57467,Customer Beta,Widget A,9,125.64,1130.76,860.84
2026-01-27,INV-58623,Customer Epsilon,Gadget X,5,306.5,1532.5,1179.67
2026-01-27,INV-58096,Customer Delta,Widget C,98,47.67,4671.66,2963.81
2026-01-27,INV-13396,Customer Gamma,Gadget X,84,146.56,12311.04,10342.87
2026-01-27,INV-44311,Customer Delta,Widget B,67,199.62,13374.54,9902.75
2026-01-27,INV-74382,Customer Delta,Widget C,28,498.22,13950.16,9366.06
2026-01-27,INV-68341,Customer Alpha,Widget B,18,427.88,7701.84,5491.49
2026-01-27,INV-81063,Customer Gamma,Widget A,86,180.24,15500.64,9552.03
2026-01-27,INV-93584,Customer Gamma,Widget C,21,358.79,7534.59,6267.51
2026-01-27,INV-28202,Customer Gamma,Widget B,66,119.88,7912.08,6695.86
2026-01-27,INV-71263,Customer Delta,Widget B,4,186.84,747.36,555.34
2026-01-27,INV-62187,Customer Beta,Gadget Y,79,443.28,35019.12,21587.08
2026-01-27,INV-19666,Customer Epsilon,Gadget X,53,386.89,20505.17,16523.78
2026-01-27,INV-77811,Customer Gamma,Widget B,83,46.34,3846.22,2755.66
2026-01-27,INV-26912,Customer Beta,Widget C,100,280.14,28014.0,20924.96
2026-01-27,INV-49862,Customer Epsilon,Gadget X,8,417.38,3339.04,2435.91
2026-01-28,INV-78012,Customer Gamma,Widget B,91,120.48,10963.68,9175.18
2026-01-28,INV-45972,Customer Alpha,Widget C,33,106.19,3504.27,2940.39
2026-01-28,INV-32103,Customer Gamma,Widget B,79,271.4,21440.6,15558.23
2026-01-28,INV-89316,Customer Epsilon,Gadget Y,20,93.89,1877.8,1419.84
2026-01-28,INV-15958,Customer Epsilon,Widget C,6,414.37,2486.22,1509.37
2026-01-28,INV-91016,Customer Gamma,Gadget Y,84,113.3,9517.2,7071.61
2026-01-28,INV-49596,Customer Delta,Widget A,81,277.33,22463.73,17083.15
2026-01-28,INV-17852,Customer Beta,Gadget X,88,208.99,18391.12,13119.97
2026-01-28,INV-89516,Customer Delta,Widget B,54,247.28,13353.12,8692.96
2026-01-28,INV-55268,Customer Gamma,Widget B,92,166.47,15315.24,12972.1
2026-01-29,INV-71141,Customer Gamma,Widget B,66,285.21,18823.86,12796.06
2026-01-29,INV-48038,Customer Gamma,Widget A,58,131.48,7625.84,4760.07
2026-01-29,INV-30932,Customer Epsilon,Gadget X,54,131.65,7109.1,5803.35
2026-01-29,INV-75308,Customer Epsilon,Widget C,93,163.23,15180.39,12004.35
2026-01-29,INV-21802,Customer Delta,Gadget Y,64,440.75,28208.0,20432.26
2026-01-29,INV-56254,Customer Epsilon,Gadget X,59,483.68,28537.12,18657.17
