Date,Supplier,Product,Quantity,Total Cost
2026-03-06,Vendor 1,Gadget Pro,116,20300
2026-03-06,Supplier Alpha,Gadget Lite,155,8525
2026-03-07,Supplier Beta,Standard Widget,159,7950
2026-03-07,Supplier Beta,Standard Widget,149,7450
2026-03-07,Supplier Alpha,Premium Widget,184,22080
2026-03-08,Supplier Alpha,Budget Widget,56,1008
2026-03-08,Supplier Beta,Premium Widget,102,12240
2026-03-08,Supplier Alpha,Low Stock Item,68,8840
2026-03-09,Supplier Alpha,Standard Widget,187,9350
2026-03-09,Supplier Beta,Gadget Pro,159,27825
2026-03-09,Supplier Beta,Budget Widget,87,1566
2026-03-09,Supplier Alpha,Low Stock Item,89,11570
2026-03-09,Supplier Alpha,Low Stock Item,81,10530
2026-03-09,Supplier Beta,Budget Widget,98,1764
2026-03-09,Supplier Alpha,Declining Product,184,11960
2026-03-10,Vendor 11,Budget Widget,84,1512
2026-03-10,Supplier Beta,Low Stock Item,140,18200
2026-03-10,Supplier Beta,Declining Product,59,3835
2026-03-10,Supplier Alpha,Gadget Lite,115,6325
2026-03-10,Supplier Alpha,Low Stock Item,186,24180
2026-03-10,Vendor 5,Gadget Pro,120,21000
2026-03-10,Vendor 6,Premium Widget,44,5280
2026-03-10,Supplier Alpha,Budget Widget,33,594
2026-03-11,Supplier Beta,Gadget Lite,116,6380
2026-03-11,Supplier Alpha,Gadget Lite,112,6160
2026-03-11,Supplier Beta,Low Stock Item,25,3250
2026-03-11,Vendor 14,Budget Widget,184,3312
2026-03-11,Supplier Beta,Declining Product,104,6760
2026-03-12,Supplier Alpha,Gadget Lite,141,7755
2026-03-12,Supplier Alpha,Low Stock Item,44,5720
2026-03-12,Vendor 5,Declining Product,88,5720
2026-03-12,Supplier Alpha,Low Stock Item,171,22230
2026-03-12,Supplier Alpha,Budget Widget,59,1062
2026-03-13,Supplier Beta,Gadget Lite,24,1320
2026-03-13,Supplier Alpha,Standard Widget,136,6800
2026-03-14,Vendor 5,Declining Product,38,2470
2026-03-14,Vendor 13,Gadget Lite,98,5390
2026-03-14,Supplier Alpha,Standard Widget,40,2000
2026-03-14,Supplier Alpha,Standard Widget,131,6550
2026-03-14,Supplier Alpha,Standard Widget,144,7200
2026-03-15,Supplier Alpha,Gadget Lite,76,4180
2026-03-15,Vendor 13,Standard Widget,21,1050
2026-03-15,Supplier Alpha,Premium Widget,87,10440
2026-03-15,Supplier Alpha,Standard Widget,145,7250
2026-03-15,Supplier Alpha,Standard Widget,99,4950
2026-03-16,Supplier Alpha,Gadget Pro,66,11550
2026-03-16,Supplier Beta,Gadget Pro,59,10325
2026-03-16,Vendor 7,Budget Widget,123,2214
2026-03-16,Vendor 9,Declining Product,125,8125
2026-03-16,Vendor 1,Gadget Pro,188,32900
2026-03-17,Vendor 1,Premium Widget,32,3840
2026-03-17,Vendor 9,Low Stock Item,188,24440
2026-03-17,Supplier Alpha,Low Stock Item,49,6370
2026-03-17,Supplier Beta,Gadget Lite,33,1815
2026-03-18,Vendor 5,Standard Widget,195,9750
2026-03-18,Supplier Beta,Declining Product,158,10270
2026-03-19,Supplier Alpha,Declining Product,136,8840
2026-03-19,Supplier Beta,Low Stock Item,47,6110
2026-03-20,Supplier Alpha,Budget Widget,191,3438
2026-03-20,Vendor 11,Gadget Lite,49,2695
2026-03-20,Vendor 5,Declining Product,124,8060
2026-03-20,Supplier Beta,Budget Widget,48,864
2026-03-20,Supplier Alpha,Premium Widget,124,14880
2026-03-20,Vendor 7,Gadget Lite,56,3080
2026-03-20,Vendor 7,Declining Product,157,10205
2026-03-20,Supplier Beta,Gadget Lite,100,5500
2026-03-21,Supplier Beta,Standard Widget,147,7350
2026-03-21,Vendor 8,Declining Product,130,8450
2026-03-21,Supplier Beta,Low Stock Item,173,22490
2026-03-21,Supplier Alpha,Budget Widget,92,1656
2026-03-21,Vendor 13,Standard Widget,79,3950
2026-03-21,Vendor 9,Premium Widget,129,15480
2026-03-21,Supplier Beta,Declining Product,88,5720
2026-03-22,Vendor 10,Gadget Pro,47,8225
2026-03-22,Supplier Beta,Premium Widget,99,11880
2026-03-22,Supplier Alpha,Low Stock Item,152,19760
2026-03-22,Supplier Alpha,Gadget Pro,105,18375
2026-03-22,Supplier Alpha,Gadget Pro,115,20125
2026-03-22,Vendor 4,Premium Widget,188,22560
2026-03-23,Supplier Alpha,Premium Widget,193,23160
2026-03-23,Vendor 6,Declining Product,49,3185
2026-03-23,Vendor 8,Premium Widget,61,7320
2026-03-23,Supplier Beta,Declining Product,68,4420
2026-03-24,Supplier Alpha,Declining Product,63,4095
2026-03-24,Vendor 4,Gadget Lite,178,9790
2026-03-24,Vendor 12,Premium Widget,143,17160
2026-03-24,Vendor 2,Low Stock Item,198,25740
2026-03-25,Supplier Alpha,Standard Widget,108,5400
2026-03-25,Supplier Beta,Gadget Pro,153,26775
2026-03-25,Vendor 14,Budget Widget,189,3402
2026-03-25,Supplier Alpha,Gadget Pro,200,35000
2026-03-25,Vendor 12,Gadget Pro,194,33950
2026-03-25,Supplier Alpha,Low Stock Item,134,17420
2026-03-25,Supplier Beta,Premium Widget,135,16200
2026-03-25,Supplier Beta,Standard Widget,167,8350
2026-03-26,Supplier Beta,Budget Widget,124,2232
2026-03-26,Supplier Beta,Low Stock Item,166,21580
2026-03-26,Vendor 1,Declining Product,51,3315
2026-03-26,Supplier Alpha,Gadget Pro,94,16450
2026-03-26,Supplier Beta,Premium Widget,42,5040
2026-03-26,Supplier Beta,Budget Widget,105,1890
2026-03-26,Supplier Alpha,Budget Widget,46,828
2026-03-27,Vendor 9,Declining Product,80,5200
2026-03-27,Supplier Beta,Premium Widget,37,4440
2026-03-27,Vendor 14,Gadget Lite,42,2310
2026-03-27,Supplier Alpha,Gadget Lite,186,10230
2026-03-28,Supplier Alpha,Budget Widget,98,1764
2026-03-28,Supplier Alpha,Declining Product,196,12740
2026-03-28,Vendor 14,Standard Widget,25,1250
2026-03-28,Supplier Beta,Declining Product,176,11440
2026-03-28,Supplier Beta,Gadget Pro,47,8225
2026-03-28,Supplier Beta,Premium Widget,109,13080
2026-03-28,Vendor 4,Standard Widget,141,7050
2026-03-29,Vendor 9,Budget Widget,21,378
2026-03-29,Vendor 2,Standard Widget,88,4400
2026-03-29,Supplier Beta,Low Stock Item,37,4810
2026-03-29,Supplier Alpha,Declining Product,48,3120
2026-03-29,Supplier Beta,Gadget Pro,46,8050
2026-03-30,Vendor 6,Premium Widget,99,11880
2026-03-30,Supplier Alpha,Budget Widget,169,3042
2026-03-30,Vendor 11,Budget Widget,103,1854
2026-03-30,Supplier Alpha,Low Stock Item,144,18720
2026-03-30,Vendor 7,Low Stock Item,29,3770
2026-03-30,Vendor 8,Standard Widget,172,8600
2026-03-30,Supplier Alpha,Gadget Lite,152,8360
2026-03-31,Supplier Alpha,Low Stock Item,152,19760
2026-03-31,Vendor 7,Gadget Lite,158,8690
2026-04-01,Supplier Beta,Gadget Pro,63,11025
2026-04-01,Vendor 11,Premium Widget,172,20640
2026-04-01,Supplier Beta,Premium Widget,99,11880
2026-04-01,Vendor 7,Budget Widget,84,1512
2026-04-02,Supplier Alpha,Gadget Pro,21,3675
2026-04-02,Supplier Alpha,Budget Widget,111,1998
2026-04-02,Vendor 2,Gadget Pro,176,30800
2026-04-02,Supplier Alpha,Gadget Lite,151,8305
2026-04-03,Supplier Alpha,Premium Widget,65,7800
2026-04-03,Supplier Beta,Standard Widget,55,2750
2026-04-03,Vendor 8,Standard Widget,62,3100
2026-04-03,Supplier Beta,Standard Widget,129,6450
2026-04-03,Supplier Beta,Premium Widget,87,10440
2026-04-04,Supplier Beta,Premium Widget,104,12480
2026-04-04,Supplier Beta,Declining Product,79,5135
2026-04-04,Supplier Beta,Gadget Lite,56,3080
2026-04-04,Supplier Beta,Budget Widget,170,3060
2026-04-04,Supplier Beta,Gadget Lite,73,4015
2026-04-04,Vendor 10,Declining Product,68,4420
2026-04-04,Vendor 14,Budget Widget,44,792
2026-04-04,Supplier Beta,Gadget Lite,177,9735
2026-04-05,Supplier Alpha,Declining Product,35,2275
2026-04-05,Supplier Alpha,Gadget Pro,26,4550
2026-04-05,Supplier Beta,Standard Widget,139,6950
2026-04-05,Supplier Alpha,Gadget Pro,100,17500
2026-04-05,Supplier Alpha,Premium Widget,119,14280
2026-04-05,Supplier Alpha,Low Stock Item,177,23010
2026-04-06,Supplier Alpha,Declining Product,113,7345
2026-04-06,Supplier Alpha,Gadget Pro,60,10500
2026-04-06,Supplier Beta,Gadget Lite,64,3520
2026-04-06,Supplier Alpha,Declining Product,52,3380
2026-04-06,Supplier Alpha,Standard Widget,68,3400
2026-04-06,Supplier Alpha,Budget Widget,138,2484
2026-04-06,Supplier Alpha,Low Stock Item,185,24050
2026-04-06,Supplier Beta,Budget Widget,163,2934
2026-04-07,Supplier Beta,Premium Widget,184,22080
2026-04-07,Supplier Beta,Budget Widget,65,1170
2026-04-07,Supplier Beta,Declining Product,110,7150
2026-04-07,Supplier Beta,Premium Widget,61,7320
2026-04-07,Supplier Beta,Declining Product,71,4615
2026-04-07,Supplier Beta,Declining Product,124,8060
2026-04-08,Supplier Beta,Premium Widget,73,8760
2026-04-08,Supplier Alpha,Premium Widget,62,7440
2026-04-08,Supplier Alpha,Standard Widget,77,3850
2026-04-08,Supplier Beta,Budget Widget,73,1314
2026-04-08,Supplier Beta,Standard Widget,38,1900
2026-04-09,Supplier Alpha,Gadget Lite,105,5775
2026-04-09,Supplier Beta,Gadget Lite,136,7480
2026-04-09,Supplier Alpha,Low Stock Item,128,16640
2026-04-09,Vendor 4,Low Stock Item,197,25610
2026-04-10,Supplier Beta,Gadget Lite,93,5115
2026-04-10,Supplier Alpha,Budget Widget,196,3528
2026-04-10,Supplier Beta,Standard Widget,36,1800
2026-04-11,Supplier Alpha,Gadget Pro,93,16275
2026-04-11,Vendor 7,Gadget Lite,25,1375
2026-04-11,Vendor 7,Low Stock Item,166,21580
2026-04-11,Supplier Alpha,Gadget Pro,85,14875
2026-04-12,Supplier Beta,Declining Product,102,6630
2026-04-12,Supplier Alpha,Premium Widget,159,19080
2026-04-12,Supplier Alpha,Premium Widget,74,8880
2026-04-12,Vendor 3,Standard Widget,46,2300
2026-04-12,Vendor 4,Low Stock Item,106,13780
2026-04-13,Supplier Alpha,Gadget Lite,126,6930
2026-04-13,Supplier Alpha,Standard Widget,68,3400
2026-04-13,Supplier Beta,Budget Widget,45,810
2026-04-13,Supplier Alpha,Standard Widget,124,6200
2026-04-14,Supplier Alpha,Declining Product,52,3380
2026-04-14,Supplier Beta,Budget Widget,71,1278
2026-04-14,Vendor 2,Budget Widget,185,3330
2026-04-14,Supplier Beta,Premium Widget,178,21360
2026-04-14,Supplier Beta,Declining Product,160,10400
2026-04-14,Supplier Alpha,Gadget Lite,40,2200
2026-04-14,Supplier Beta,Gadget Lite,175,9625
2026-04-14,Supplier Alpha,Declining Product,157,10205
2026-04-15,Supplier Alpha,Gadget Pro,195,34125
2026-04-15,Supplier Beta,Budget Widget,88,1584
2026-04-15,Supplier Alpha,Standard Widget,69,3450
2026-04-15,Vendor 14,Gadget Pro,164,28700
