Date,Receipt No,Product,Category,Quantity,Unit Price,Amount,Cost
2026-01-01,R862177,Chips,Snacks,6,4.0,24.0,15.0
2026-01-01,R704773,Frozen Pizza,Frozen,3,5.5,16.5,9.0
2026-01-01,R434762,Spices,Pantry,7,3.5,24.5,7.0
2026-01-01,R676852,Bread,Bakery,29,2.5,72.5,29.0
2026-01-01,R606275,Spices,Pantry,9,3.5,31.5,9.0
2026-01-01,R618101,Frozen Pizza,Frozen,6,5.5,33.0,18.0
2026-01-01,R670156,Soda,Beverages,27,3.0,81.0,27.0
2026-01-01,R437897,Milk,Dairy,28,1.8,50.4,33.6
2026-01-01,R548723,Pasta,Dry Goods,2,1.5,3.0,1.6
2026-01-01,R463097,Cereal,Breakfast,4,4.5,18.0,8.0
2026-01-01,R840208,Bread,Bakery,8,2.5,20.0,8.0
2026-01-01,R296293,Cereal,Breakfast,4,4.5,18.0,8.0
2026-01-01,R304670,Bread,Bakery,14,2.5,35.0,14.0
2026-01-01,R230979,Pasta,Dry Goods,9,1.5,13.5,7.2
2026-01-01,R399115,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-01,R273030,Cooking Oil,Pantry,9,6.0,54.0,40.5
2026-01-01,R362481,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-01,R550521,Spices,Pantry,4,3.5,14.0,4.0
2026-01-01,R280247,Milk,Dairy,16,1.8,28.8,19.2
2026-01-01,R106088,Cooking Oil,Pantry,5,6.0,30.0,22.5
2026-01-01,R676239,Frozen Pizza,Frozen,8,5.5,44.0,24.0
2026-01-01,R153825,Soda,Beverages,28,3.0,84.0,28.0
2026-01-01,R633426,Cooking Oil,Pantry,2,6.0,12.0,9.0
2026-01-01,R859763,Soda,Beverages,5,3.0,15.0,5.0
2026-01-01,R995164,Pasta,Dry Goods,10,1.5,15.0,8.0
2026-01-01,R625899,Bread,Bakery,24,2.5,60.0,24.0
2026-01-01,R279355,Cooking Oil,Pantry,4,6.0,24.0,18.0
2026-01-01,R967365,Bread,Bakery,23,2.5,57.5,23.0
2026-01-01,R285530,Soda,Beverages,16,3.0,48.0,16.0
2026-01-01,R778158,Milk,Dairy,5,1.8,9.0,6.0
2026-01-01,R904578,Spices,Pantry,6,3.5,21.0,6.0
2026-01-01,R766069,Soda,Beverages,11,3.0,33.0,11.0
2026-01-01,R614970,Frozen Pizza,Frozen,6,5.5,33.0,18.0
2026-01-01,R321857,Spices,Pantry,3,3.5,10.5,3.0
2026-01-01,R264434,Bread,Bakery,28,2.5,70.0,28.0
2026-01-01,R716017,Pasta,Dry Goods,4,1.5,6.0,3.2
2026-01-01,R275663,Spices,Pantry,2,3.5,7.0,2.0
2026-01-01,R123855,Frozen Pizza,Frozen,3,5.5,16.5,9.0
2026-01-01,R805236,Bread,Bakery,30,2.5,75.0,30.0
2026-01-01,R602470,Soda,Beverages,10,3.0,30.0,10.0
2026-01-01,R936726,Spices,Pantry,10,3.5,35.0,10.0
2026-01-01,R978208,Soda,Beverages,16,3.0,48.0,16.0
2026-01-01,R650953,Pasta,Dry Goods,10,1.5,15.0,8.0
2026-01-01,R927142,Chips,Snacks,7,4.0,28.0,17.5
2026-01-01,R321958,Spices,Pantry,6,3.5,21.0,6.0
2026-01-01,R928243,Soda,Beverages,18,3.0,54.0,18.0
2026-01-01,R286865,Bread,Bakery,12,2.5,30.0,12.0
2026-01-01,R151553,Soda,Beverages,14,3.0,42.0,14.0
2026-01-01,R997244,Cooking Oil,Pantry,2,6.0,12.0,9.0
2026-01-01,R773014,Pasta,Dry Goods,9,1.5,13.5,7.2
2026-01-01,R344294,Bread,Bakery,5,2.5,12.5,5.0
2026-01-01,R209172,Pasta,Dry Goods,10,1.5,15.0,8.0
2026-01-01,R925199,Pasta,Dry Goods,3,1.5,4.5,2.4
2026-01-01,R498238,Frozen Pizza,Frozen,2,5.5,11.0,6.0
2026-01-01,R255631,Cooking Oil,Pantry,7,6.0,42.0,31.5
2026-01-01,R114159,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-01,R689343,Cooking Oil,Pantry,10,6.0,60.0,45.0
2026-01-01,R961760,Spices,Pantry,7,3.5,24.5,7.0
2026-01-01,R807424,Spices,Pantry,4,3.5,14.0,4.0
2026-01-01,R442428,Bread,Bakery,22,2.5,55.0,22.0
2026-01-01,R188356,Milk,Dairy,16,1.8,28.8,19.2
2026-01-01,R777502,Soda,Beverages,9,3.0,27.0,9.0
2026-01-01,R501802,Cooking Oil,Pantry,8,6.0,48.0,36.0
2026-01-01,R700349,Bread,Bakery,5,2.5,12.5,5.0
2026-01-01,R823120,Spices,Pantry,9,3.5,31.5,9.0
2026-01-01,R394292,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-01,R917108,Milk,Dairy,8,1.8,14.4,9.6
2026-01-01,R491412,Pasta,Dry Goods,3,1.5,4.5,2.4
2026-01-01,R346111,Spices,Pantry,2,3.5,7.0,2.0
2026-01-01,R973279,Cereal,Breakfast,6,4.5,27.0,12.0
2026-01-01,R360156,Cooking Oil,Pantry,9,6.0,54.0,40.5
2026-01-01,R830745,Pasta,Dry Goods,4,1.5,6.0,3.2
2026-01-01,R891506,Frozen Pizza,Frozen,2,5.5,11.0,6.0
2026-01-01,R431442,Milk,Dairy,9,1.8,16.2,10.8
2026-01-01,R630726,Spices,Pantry,8,3.5,28.0,8.0
2026-01-01,R823076,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-01,R896994,Chips,Snacks,6,4.0,24.0,15.0
2026-01-01,R691786,Chips,Snacks,4,4.0,16.0,10.0
2026-01-01,R792441,Pasta,Dry Goods,10,1.5,15.0,8.0
2026-01-01,R178022,Cereal,Breakfast,9,4.5,40.5,18.0
2026-01-01,R789087,Frozen Pizza,Frozen,6,5.5,33.0,18.0
2026-01-01,R962626,Soda,Beverages,30,3.0,90.0,30.0
2026-01-01,R805858,Spices,Pantry,7,3.5,24.5,7.0
2026-01-01,R942214,Spices,Pantry,7,3.5,24.5,7.0
2026-01-01,R925900,Pasta,Dry Goods,3,1.5,4.5,2.4
2026-01-01,R560657,Spices,Pantry,6,3.5,21.0,6.0
2026-01-01,R146627,Pasta,Dry Goods,2,1.5,3.0,1.6
2026-01-01,R729347,Pasta,Dry Goods,3,1.5,4.5,2.4
2026-01-01,R775503,Milk,Dairy,28,1.8,50.4,33.6
2026-01-01,R484307,Bread,Bakery,12,2.5,30.0,12.0
2026-01-01,R521121,Chips,Snacks,5,4.0,20.0,12.5
2026-01-02,R219962,Frozen Pizza,Frozen,4,5.5,22.0,12.0
2026-01-02,R311807,Pasta,Dry Goods,4,1.5,6.0,3.2
2026-01-02,R454847,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-02,R436104,Milk,Dairy,16,1.8,28.8,19.2
2026-01-02,R777086,Cooking Oil,Pantry,10,6.0,60.0,45.0
2026-01-02,R359630,Cereal,Breakfast,8,4.5,36.0,16.0
2026-01-02,R780589,Milk,Dairy,26,1.8,46.8,31.2
2026-01-02,R331994,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-02,R159214,Cooking Oil,Pantry,9,6.0,54.0,40.5
2026-01-02,R167423,Cereal,Breakfast,3,4.5,13.5,6.0
2026-01-02,R252857,Frozen Pizza,Frozen,6,5.5,33.0,18.0
2026-01-02,R985082,Milk,Dairy,8,1.8,14.4,9.6
2026-01-02,R750821,Cooking Oil,Pantry,10,6.0,60.0,45.0
2026-01-02,R726429,Frozen Pizza,Frozen,6,5.5,33.0,18.0
2026-01-02,R255133,Milk,Dairy,24,1.8,43.2,28.8
2026-01-02,R804028,Cereal,Breakfast,7,4.5,31.5,14.0
2026-01-02,R223304,Spices,Pantry,7,3.5,24.5,7.0
2026-01-02,R344083,Pasta,Dry Goods,5,1.5,7.5,4.0
2026-01-02,R543597,Cereal,Breakfast,8,4.5,36.0,16.0
2026-01-02,R225812,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-02,R192476,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-02,R376678,Chips,Snacks,9,4.0,36.0,22.5
2026-01-02,R880633,Bread,Bakery,29,2.5,72.5,29.0
2026-01-02,R197356,Bread,Bakery,27,2.5,67.5,27.0
2026-01-02,R160915,Spices,Pantry,10,3.5,35.0,10.0
2026-01-02,R105033,Milk,Dairy,8,1.8,14.4,9.6
2026-01-02,R682201,Cereal,Breakfast,5,4.5,22.5,10.0
2026-01-02,R386998,Soda,Beverages,10,3.0,30.0,10.0
2026-01-02,R266631,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-02,R910613,Cereal,Breakfast,7,4.5,31.5,14.0
2026-01-02,R963013,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-02,R798379,Frozen Pizza,Frozen,3,5.5,16.5,9.0
2026-01-02,R226365,Cooking Oil,Pantry,10,6.0,60.0,45.0
2026-01-02,R624901,Spices,Pantry,9,3.5,31.5,9.0
2026-01-02,R168219,Frozen Pizza,Frozen,7,5.5,38.5,21.0
2026-01-02,R463179,Pasta,Dry Goods,3,1.5,4.5,2.4
2026-01-02,R520170,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-02,R928832,Spices,Pantry,10,3.5,35.0,10.0
2026-01-02,R323887,Bread,Bakery,25,2.5,62.5,25.0
2026-01-02,R731714,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-02,R723357,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-02,R397407,Chips,Snacks,2,4.0,8.0,5.0
2026-01-02,R151806,Spices,Pantry,6,3.5,21.0,6.0
2026-01-02,R737839,Cooking Oil,Pantry,2,6.0,12.0,9.0
2026-01-02,R106019,Milk,Dairy,6,1.8,10.8,7.2
2026-01-02,R520193,Cereal,Breakfast,7,4.5,31.5,14.0
2026-01-02,R197922,Spices,Pantry,10,3.5,35.0,10.0
2026-01-02,R835596,Spices,Pantry,10,3.5,35.0,10.0
2026-01-02,R299928,Chips,Snacks,5,4.0,20.0,12.5
2026-01-02,R593499,Milk,Dairy,17,1.8,30.6,20.4
2026-01-02,R508270,Spices,Pantry,4,3.5,14.0,4.0
2026-01-02,R118044,Cereal,Breakfast,6,4.5,27.0,12.0
2026-01-02,R568666,Chips,Snacks,2,4.0,8.0,5.0
2026-01-02,R453131,Frozen Pizza,Frozen,2,5.5,11.0,6.0
2026-01-02,R787321,Spices,Pantry,2,3.5,7.0,2.0
2026-01-02,R121579,Cereal,Breakfast,6,4.5,27.0,12.0
2026-01-02,R163106,Cooking Oil,Pantry,3,6.0,18.0,13.5
2026-01-02,R215614,Cereal,Breakfast,9,4.5,40.5,18.0
2026-01-02,R209636,Bread,Bakery,23,2.5,57.5,23.0
2026-01-02,R487475,Pasta,Dry Goods,8,1.5,12.0,6.4
2026-01-02,R943583,Milk,Dairy,5,1.8,9.0,6.0
2026-01-02,R969954,Frozen Pizza,Frozen,4,5.5,22.0,12.0
2026-01-02,R501069,Bread,Bakery,22,2.5,55.0,22.0
2026-01-02,R859507,Frozen Pizza,Frozen,5,5.5,27.5,15.0
2026-01-02,R707355,Pasta,Dry Goods,6,1.5,9.0,4.8
2026-01-02,R824123,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-02,R305205,Frozen Pizza,Frozen,10,5.5,55.0,30.0
2026-01-02,R189227,Spices,Pantry,5,3.5,17.5,5.0
2026-01-02,R983149,Cooking Oil,Pantry,7,6.0,42.0,31.5
2026-01-02,R868526,Cereal,Breakfast,8,4.5,36.0,16.0
2026-01-02,R692130,Frozen Pizza,Frozen,6,5.5,33.0,18.0
2026-01-02,R584675,Chips,Snacks,6,4.0,24.0,15.0
2026-01-02,R931571,Cooking Oil,Pantry,3,6.0,18.0,13.5
2026-01-02,R530255,Soda,Beverages,29,3.0,87.0,29.0
2026-01-02,R638934,Cooking Oil,Pantry,10,6.0,60.0,45.0
2026-01-02,R591741,Milk,Dairy,5,1.8,9.0,6.0
2026-01-02,R839287,Cooking Oil,Pantry,8,6.0,48.0,36.0
2026-01-02,R161788,Chips,Snacks,4,4.0,16.0,10.0
2026-01-02,R586907,Milk,Dairy,24,1.8,43.2,28.8
2026-01-02,R955081,Bread,Bakery,25,2.5,62.5,25.0
2026-01-02,R614357,Chips,Snacks,2,4.0,8.0,5.0
2026-01-02,R586786,Cooking Oil,Pantry,3,6.0,18.0,13.5
2026-01-02,R361703,Cereal,Breakfast,4,4.5,18.0,8.0
2026-01-02,R451709,Soda,Beverages,15,3.0,45.0,15.0
2026-01-02,R219509,Cooking Oil,Pantry,10,6.0,60.0,45.0
2026-01-02,R876590,Milk,Dairy,25,1.8,45.0,30.0
2026-01-02,R273449,Spices,Pantry,3,3.5,10.5,3.0
2026-01-02,R538959,Pasta,Dry Goods,9,1.5,13.5,7.2
2026-01-02,R992640,Milk,Dairy,16,1.8,28.8,19.2
2026-01-02,R130904,Milk,Dairy,22,1.8,39.6,26.4
2026-01-02,R379013,Pasta,Dry Goods,10,1.5,15.0,8.0
2026-01-02,R376046,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-02,R555853,Cereal,Breakfast,9,4.5,40.5,18.0
2026-01-02,R366296,Bread,Bakery,6,2.5,15.0,6.0
2026-01-02,R461980,Soda,Beverages,30,3.0,90.0,30.0
2026-01-02,R531272,Spices,Pantry,9,3.5,31.5,9.0
2026-01-02,R196954,Frozen Pizza,Frozen,9,5.5,49.5,27.0
2026-01-02,R369088,Soda,Beverages,15,3.0,45.0,15.0
2026-01-02,R671540,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-02,R695777,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-02,R723992,Frozen Pizza,Frozen,3,5.5,16.5,9.0
2026-01-02,R366617,Cereal,Breakfast,3,4.5,13.5,6.0
2026-01-02,R986108,Spices,Pantry,2,3.5,7.0,2.0
2026-01-02,R837849,Milk,Dairy,26,1.8,46.8,31.2
2026-01-02,R826361,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-02,R450989,Spices,Pantry,2,3.5,7.0,2.0
2026-01-02,R415306,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-03,R278218,Spices,Pantry,8,3.5,28.0,8.0
2026-01-03,R968488,Frozen Pizza,Frozen,4,5.5,22.0,12.0
2026-01-03,R466334,Milk,Dairy,18,1.8,32.4,21.6
2026-01-03,R965160,Chips,Snacks,10,4.0,40.0,25.0
2026-01-03,R956360,Spices,Pantry,9,3.5,31.5,9.0
2026-01-03,R579710,Chips,Snacks,2,4.0,8.0,5.0
2026-01-03,R879129,Cereal,Breakfast,8,4.5,36.0,16.0
2026-01-03,R473948,Cereal,Breakfast,9,4.5,40.5,18.0
2026-01-03,R775560,Soda,Beverages,13,3.0,39.0,13.0
2026-01-03,R114790,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-03,R978460,Chips,Snacks,3,4.0,12.0,7.5
2026-01-03,R717846,Frozen Pizza,Frozen,9,5.5,49.5,27.0
2026-01-03,R109494,Spices,Pantry,9,3.5,31.5,9.0
2026-01-03,R921660,Cereal,Breakfast,7,4.5,31.5,14.0
2026-01-03,R207445,Cooking Oil,Pantry,3,6.0,18.0,13.5
2026-01-03,R486682,Soda,Beverages,13,3.0,39.0,13.0
2026-01-03,R595765,Bread,Bakery,30,2.5,75.0,30.0
2026-01-03,R345140,Pasta,Dry Goods,10,1.5,15.0,8.0
2026-01-03,R443195,Cereal,Breakfast,5,4.5,22.5,10.0
2026-01-03,R936166,Bread,Bakery,26,2.5,65.0,26.0
2026-01-03,R870629,Spices,Pantry,8,3.5,28.0,8.0
2026-01-03,R207931,Cooking Oil,Pantry,2,6.0,12.0,9.0
2026-01-03,R253372,Spices,Pantry,4,3.5,14.0,4.0
2026-01-03,R901130,Pasta,Dry Goods,3,1.5,4.5,2.4
2026-01-03,R279645,Cereal,Breakfast,8,4.5,36.0,16.0
2026-01-03,R475521,Chips,Snacks,5,4.0,20.0,12.5
2026-01-03,R101282,Soda,Beverages,18,3.0,54.0,18.0
2026-01-03,R759803,Milk,Dairy,19,1.8,34.2,22.8
2026-01-03,R536896,Pasta,Dry Goods,4,1.5,6.0,3.2
2026-01-03,R629462,Frozen Pizza,Frozen,7,5.5,38.5,21.0
2026-01-03,R233351,Milk,Dairy,11,1.8,19.8,13.2
2026-01-03,R299136,Cereal,Breakfast,3,4.5,13.5,6.0
2026-01-03,R243179,Frozen Pizza,Frozen,6,5.5,33.0,18.0
2026-01-03,R186227,Pasta,Dry Goods,2,1.5,3.0,1.6
2026-01-03,R324219,Cooking Oil,Pantry,4,6.0,24.0,18.0
2026-01-03,R774908,Chips,Snacks,4,4.0,16.0,10.0
2026-01-03,R274138,Bread,Bakery,6,2.5,15.0,6.0
2026-01-03,R145182,Frozen Pizza,Frozen,5,5.5,27.5,15.0
2026-01-03,R518441,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-03,R117902,Pasta,Dry Goods,6,1.5,9.0,4.8
2026-01-03,R670994,Pasta,Dry Goods,3,1.5,4.5,2.4
2026-01-03,R343740,Frozen Pizza,Frozen,5,5.5,27.5,15.0
2026-01-03,R181283,Milk,Dairy,29,1.8,52.2,34.8
2026-01-03,R409349,Frozen Pizza,Frozen,8,5.5,44.0,24.0
2026-01-03,R439472,Cooking Oil,Pantry,5,6.0,30.0,22.5
2026-01-03,R981206,Cereal,Breakfast,4,4.5,18.0,8.0
2026-01-03,R455975,Cooking Oil,Pantry,9,6.0,54.0,40.5
2026-01-03,R914375,Chips,Snacks,3,4.0,12.0,7.5
2026-01-03,R669299,Cooking Oil,Pantry,6,6.0,36.0,27.0
2026-01-03,R497092,Chips,Snacks,5,4.0,20.0,12.5
2026-01-03,R257989,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-03,R257403,Milk,Dairy,16,1.8,28.8,19.2
2026-01-03,R365722,Spices,Pantry,8,3.5,28.0,8.0
2026-01-03,R589492,Frozen Pizza,Frozen,10,5.5,55.0,30.0
2026-01-03,R502651,Milk,Dairy,17,1.8,30.6,20.4
2026-01-03,R853566,Chips,Snacks,5,4.0,20.0,12.5
2026-01-03,R239013,Bread,Bakery,11,2.5,27.5,11.0
2026-01-03,R555127,Soda,Beverages,8,3.0,24.0,8.0
2026-01-03,R148596,Cooking Oil,Pantry,10,6.0,60.0,45.0
2026-01-03,R200298,Pasta,Dry Goods,2,1.5,3.0,1.6
2026-01-03,R187745,Cooking Oil,Pantry,4,6.0,24.0,18.0
2026-01-03,R613129,Frozen Pizza,Frozen,7,5.5,38.5,21.0
2026-01-03,R191866,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-03,R890019,Soda,Beverages,30,3.0,90.0,30.0
2026-01-03,R287059,Frozen Pizza,Frozen,3,5.5,16.5,9.0
2026-01-03,R672672,Milk,Dairy,22,1.8,39.6,26.4
2026-01-03,R404470,Chips,Snacks,5,4.0,20.0,12.5
2026-01-03,R181739,Bread,Bakery,25,2.5,62.5,25.0
2026-01-03,R721690,Pasta,Dry Goods,3,1.5,4.5,2.4
2026-01-03,R831217,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-03,R596448,Frozen Pizza,Frozen,7,5.5,38.5,21.0
2026-01-03,R710183,Cereal,Breakfast,8,4.5,36.0,16.0
2026-01-03,R460524,Cereal,Breakfast,4,4.5,18.0,8.0
2026-01-03,R573237,Chips,Snacks,8,4.0,32.0,20.0
2026-01-03,R609092,Milk,Dairy,8,1.8,14.4,9.6
2026-01-03,R242959,Milk,Dairy,28,1.8,50.4,33.6
2026-01-03,R419889,Bread,Bakery,12,2.5,30.0,12.0
2026-01-03,R825570,Frozen Pizza,Frozen,9,5.5,49.5,27.0
2026-01-03,R762763,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-03,R499116,Pasta,Dry Goods,7,1.5,10.5,5.6
2026-01-03,R318303,Frozen Pizza,Frozen,4,5.5,22.0,12.0
2026-01-03,R236804,Bread,Bakery,6,2.5,15.0,6.0
2026-01-03,R286922,Soda,Beverages,14,3.0,42.0,14.0
2026-01-03,R571967,Soda,Beverages,12,3.0,36.0,12.0
2026-01-03,R503761,Milk,Dairy,17,1.8,30.6,20.4
2026-01-03,R327756,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-03,R188577,Chips,Snacks,7,4.0,28.0,17.5
2026-01-03,R757333,Spices,Pantry,9,3.5,31.5,9.0
2026-01-03,R169270,Soda,Beverages,7,3.0,21.0,7.0
2026-01-03,R239969,Milk,Dairy,15,1.8,27.0,18.0
2026-01-03,R563398,Spices,Pantry,4,3.5,14.0,4.0
2026-01-03,R745423,Bread,Bakery,30,2.5,75.0,30.0
2026-01-03,R860673,Spices,Pantry,5,3.5,17.5,5.0
2026-01-03,R951279,Bread,Bakery,18,2.5,45.0,18.0
2026-01-03,R761183,Pasta,Dry Goods,8,1.5,12.0,6.4
2026-01-03,R149772,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-03,R910652,Milk,Dairy,28,1.8,50.4,33.6
2026-01-03,R896346,Milk,Dairy,20,1.8,36.0,24.0
2026-01-03,R142059,Chips,Snacks,3,4.0,12.0,7.5
2026-01-03,R742307,Milk,Dairy,6,1.8,10.8,7.2
2026-01-03,R814111,Milk,Dairy,5,1.8,9.0,6.0
2026-01-03,R137609,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-03,R294971,Bread,Bakery,15,2.5,37.5,15.0
2026-01-03,R713838,Bread,Bakery,14,2.5,35.0,14.0
2026-01-03,R537884,Frozen Pizza,Frozen,8,5.5,44.0,24.0
2026-01-03,R844558,Cooking Oil,Pantry,8,6.0,48.0,36.0
2026-01-03,R121882,Frozen Pizza,Frozen,3,5.5,16.5,9.0
2026-01-03,R982757,Chips,Snacks,10,4.0,40.0,25.0
2026-01-03,R320787,Spices,Pantry,7,3.5,24.5,7.0
2026-01-03,R242036,Pasta,Dry Goods,4,1.5,6.0,3.2
2026-01-03,R341273,Pasta,Dry Goods,10,1.5,15.0,8.0
2026-01-03,R873661,Spices,Pantry,4,3.5,14.0,4.0
2026-01-03,R274613,Spices,Pantry,2,3.5,7.0,2.0
2026-01-03,R290195,Frozen Pizza,Frozen,5,5.5,27.5,15.0
2026-01-03,R654491,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-03,R123300,Cooking Oil,Pantry,10,6.0,60.0,45.0
2026-01-03,R727645,Pasta,Dry Goods,8,1.5,12.0,6.4
2026-01-03,R585124,Cereal,Breakfast,7,4.5,31.5,14.0
2026-01-03,R429731,Pasta,Dry Goods,8,1.5,12.0,6.4
2026-01-03,R699552,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-03,R681046,Frozen Pizza,Frozen,4,5.5,22.0,12.0
2026-01-03,R368762,Spices,Pantry,3,3.5,10.5,3.0
2026-01-03,R899607,Cereal,Breakfast,5,4.5,22.5,10.0
2026-01-03,R788057,Milk,Dairy,10,1.8,18.0,12.0
2026-01-03,R816945,Canned Soup,Canned Goods,2,2.2,4.4,3.6
2026-01-03,R575610,Chips,Snacks,6,4.0,24.0,15.0
2026-01-03,R837562,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-03,R525941,Milk,Dairy,7,1.8,12.6,8.4
2026-01-03,R634022,Bread,Bakery,28,2.5,70.0,28.0
2026-01-04,R813766,Pasta,Dry Goods,10,1.5,15.0,8.0
2026-01-04,R265815,Milk,Dairy,22,1.8,39.6,26.4
2026-01-04,R323852,Soda,Beverages,10,3.0,30.0,10.0
2026-01-04,R384189,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-04,R391960,Spices,Pantry,6,3.5,21.0,6.0
2026-01-04,R661898,Pasta,Dry Goods,6,1.5,9.0,4.8
2026-01-04,R472351,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-04,R415845,Cereal,Breakfast,6,4.5,27.0,12.0
2026-01-04,R833633,Frozen Pizza,Frozen,3,5.5,16.5,9.0
2026-01-04,R223787,Canned Soup,Canned Goods,1,2.2,2.2,1.8
2026-01-04,R247265,Frozen Pizza,Frozen,9,5.5,49.5,27.0
2026-01-04,R369194,Spices,Pantry,3,3.5,10.5,3.0
2026-01-04,R852773,Soda,Beverages,17,3.0,51.0,17.0
2026-01-04,R167334,Bread,Bakery,20,2.5,50.0,20.0
2026-01-04,R927641,Chips,Snacks,5,4.0,20.0,12.5
2026-01-04,R382925,Spices,Pantry,3,3.5,10.5,3.0
2026-01-04,R235945,Chips,Snacks,10,4.0,40.0,25.0
2026-01-04,R923935,Pasta,Dry Goods,8,1.5,12.0,6.4
2026-01-04,R515820,Canned Soup,Canned Goods,3,2.2,6.6,5.4
2026-01-04,R238732,Milk,Dairy,29,1.8,52.2,34.8
2026-01-04,R438239,Chips,Snacks,7,4.0,28.0,17.5
