RETAIL STORE DAILY SALES,,,,,,,,
Store #12345,,,,,,,,
Generated: 2026-07-01,,,,,,,,
,,,,,,,,
Date,Receipt,Product Name,Category,Qty,Price,Total Amount,Cost,Payment
01/04/2026,R265585,Cereal,Breakfast,1,"8,91",8.91,6.2%,card
2026/01/04,R361301,Frozen Pizza,Frozen,8,8.51,68.08,53.7,--
01/04/26,R139778,Bread,Bakery,6,2.5,15.00,NULL,
2026/01/04,R433550,Frozen Pizza,Frozen,2,4.89,9.78,7.36,Card
01/04/26,R335545,Bread,Bakery,10,2.58,25.8,14.82,NONE
04/01/26,R827620,Soda,Beverages,8,7.16,57.3%,35.52,Card
04-01-2026,R543653,Chips,Snacks,7,3.23,22.61,16.72 USD,Card
04 Jan 2026,R150539,Cereal ,Breakfast,6,2.4%,14.22,10.34 USD,CASH
2026-01-04,R386662,Milk,Dairy,11,1.86,20.46,10.40 USD,Mobile
04/01/2026,R714866,CEREAL,Breakfast,10,9.52,£95.20,58.83,card
04/01/2026,R449366,Cereal,Breakfast,12,9.13,109.56,66.26,Mobile
04 Jan 2026,R357982,Cereal ,Breakfast,11,4.22,46.42,36.43,Card
2026-01-04,R916949,Chips,Snacks,4,7.7,30.8,16.64,Card
04-01-2026,R826380,Bread,Bakery,11,1.37,15.07,8.23,CASH
01/04/2026,R609180,Bread,Bakery,17,1.38,23.46,17.12,Mobile
04 Jan 2026,R632945,Canned Soup,Canned Goods,17,6.02,102.34,67.69,
04/01/26,R662354,Canned Soup,Canned Goods,12,1.8,21.60,16.1%,CASH
04.01.2026,R569162,CHIPS,Snacks,16,2.58 USD,41.28,21.06,Mobile
04/01/26,R897164,Chips,Snacks,7,4.17,29.19,17.07,card
04 Jan 2026,R652447,Frozen Pizza,Frozen,19,4.34,82.46,57.10 USD,Cash
04.01.2026,R361036,Chips,Snacks,15,4.35,65.25 USD,49.62,NONE
04-01-2026,R351895,Bread,Bakery,17,1.44,24.48,16.84,card
04/01/26,R603826,Frozen Pizza,Frozen,16,5.34 TRY,85.44,48.92,Cash
04/01/26,R880534,Bread,Bakery,4,2.29,,6.4%,
04.01.2026,R360812,Frozen Pizza,Frozen,19,6.28,119.32 EUR,79.37 USD,Cash
01/04/26,R775092,Cereal,Breakfast,2,1.25,2.5%,none,card
04 Jan 2026,R158391,SODA,Beverages,14,7.79,109.06,59.52,--
2026/01/04,R643851,Milk,Dairy,2,2.17,4.3%,3.34,Card
04/01/26,R939949,BREAD,Bakery,9,1.92,17.28,11.32,card
01/04/2026,R596642,Milk,Dairy,19,2.14,40.66,26.76,card
04 Jan 2026,R300689,Soda,Beverages,18,€8.29,149.22,112.91,
04 Jan 2026,R761964,Milk,Dairy,15,3.11,"46,65",24.4,Mobile
01/04/26,R943304,Bread,Bakery,9,8.09,72.81,49.60 USD,N/A
04.01.2026,R166469,Milk,Dairy,11,8.62,94.82,58.17,Mobile
04-01-2026,R264178,Milk,Dairy,9,1.71,15.39,8.13,Cash
04 Jan 2026,R575251,Bread,Bakery,15,8.86,132.90 USD,93.1,
2026/01/04,R793520,Cereal,Breakfast,17,5.1%,87.21,49.17,null
04 Jan 2026,R884118,Canned Soup,Canned Goods,9,8.12 EUR,"73,08",46.52 USD,Cash
04/01/2026,R836963,Canned Soup,Canned Goods,10,1.8,null,13.41,CASH
2026-01-04,R507369,Bread,Bakery,12,5.40,64.8,50.83,CASH
04.01.2026,R641866,Bread,Bakery,2,3.53,7.06,4.15,
04-01-2026,R785603,Frozen Pizza,Frozen,8,4.65,37.2,19.79,card
04 Jan 2026,R972569,Canned Soup,Canned Goods,10,6.36,63.6,47.23,card
04.01.2026,R795826,Soda,Beverages,20,1.2%,24.20,18.79,Mobile
01/04/26,R828479,Chips,Snacks,11,4.37,48.07,26.37,
"Jan 04, 2026",R326970,Canned Soup,Canned Goods,6,4.46,26.76,16.63,Card
04/01/26,R494385,Cereal,Breakfast,10,7.87,78.70 TRY,55.75,n/a
04-01-2026,R929456,Frozen Pizza ,Frozen,8,8.52,68.16,37.22,Card
04/01/2026,R851932,CHIPS,Snacks,20,4.51,90.2,70.46,card
"Jan 04, 2026",R116332,soda,Beverages,1,4.5%,4.54,3.38,
01/04/26,R258246,Frozen Pizza,Frozen,11,4.25,46.75,₺23.44,card
2026-01-04,R187203,Milk,Dairy,20,8.5,₺170.00,118.07,Mobile
04/01/2026,R996968,Chips,Snacks,3,4.74,14.22,10.72,
01/04/2026,R306194,Bread,Bakery,18,5.61,100.98,70.34,n/a
2026/01/04,R432409,Milk,Dairy,3,1.55,4.65,3.25,Mobile
04.01.2026,R227469,Bread,Bakery,20,2.25,45.0,$35.84,Mobile
01/04/26,R719766,Bread ,Bakery,8,8.46,67.68,37.0,Card
01/05/2026,R765913,Chips,Snacks,9,1.13,10.17,5.83,null
01/05/26,R534607,Cereal,Breakfast,15,9.20,138.0,76.24,Card
05/01/2026,R177998,Soda,Beverages,10,7.15,71.5,41.72,card
2026-01-05,R908371,Milk,Dairy,8,1.42,11.36,6.56 EUR,
05/01/2026,R532491,Chips,Snacks,6,8.0%,48.12,none,Card
05-01-2026,R856530,Chips,Snacks,13,7.52,97.76,55.2%,card
05.01.2026,R815327,Cereal,Breakfast,19,2.76,52.44,39.3%,CASH
2026/01/05,R682600,Chips,Snacks,7,9.89,69.23,54.6%,Cash
05.01.2026,R768460,Cereal,Breakfast,6,2.85,17.1,8.71,
05-01-2026,R851062,Canned Soup,Canned Goods,15,3.01,45.15,34.89 TRY,Card
01/05/2026,R613861,Soda,Beverages,10,5.90 USD,$59.00,32.14,Cash
05.01.2026,R822086,Chips,Snacks,7,6.66,NONE,27.87,
05-01-2026,R102957,Soda,Beverages,5,2.16,10.8,8.24 USD,Mobile
05/01/26,R131599,Milk,Dairy,9,7.15 EUR,64.35,49.11,Card
NULL,R999812,bread,Bakery,14,7.39,103.46,58.59,CASH
05/01/2026,R613594,Soda,Beverages,9,1.58 USD,14.22,7.19,Cash
05 Jan 2026,R745161,Milk,Dairy,19,9.51,180.69,135.34,Mobile
05/01/26,R150325,Frozen Pizza,Frozen,14,1.89,26.5%,18.94,Card
01/05/2026,R456371,Cereal,Breakfast,18,2.74,49.32,31.41,card
"Jan 05, 2026",R566953,Frozen Pizza,Frozen,7,6.36,44.52,22.88,card
01/05/26,R593761,  Canned Soup  ,Canned Goods,18,2.59,NONE,"23,87",n/a
01/05/26,R289841,Chips,Snacks,3,8.19,€24.57,18.55,Mobile
05-01-2026,R119211,Cereal,Breakfast,12,6.07,72.84,46.1,
2026-01-05,R936755,Cereal,Breakfast,11,5.21,NA,45.36,
05/01/26,R715211,Soda,Beverages,6,"2,63",15.78,11.57,
01/05/26,R232797,Milk,Dairy,1,7.18,7.18,5.57,card
2026/01/05,R869529,Frozen Pizza,Frozen,11,7.26,79.86,62.33 TRY,NONE
01/05/26,R108968,Canned Soup,Canned Goods,20,5.61,112.20,73.35,Mobile
05.01.2026,R938830,Chips,Snacks,8,5.47,43.76,25.62,CASH
01/05/26,R214426,Bread,Bakery,2,5.07,10.14,6.8%,--
01/05/26,R550041,Bread,Bakery,9,3.2%,29.25,19.71,card
05-01-2026,R421475,Cereal,Breakfast,11,5.05,55.55,40.38,card
2026/01/05,R789531,Chips,Snacks,7,1.51,10.57,6.69,Mobile
01/05/26,R733355,Bread,Bakery,16,"5,57",89.12,50.39,Card
"Jan 05, 2026",R349448,Canned Soup,Canned Goods,11,7.14,78.54,40.29,CASH
2026/01/05,R135001,Frozen Pizza,Frozen,11,8.28,91.08,€53.32,card
05-01-2026,R538406,Frozen Pizza,Frozen,12,3.83,45.96,27.73,card
2026-01-05,R983675,Soda,Beverages,12,$6.07,72.84,53.89,Mobile
05-01-2026,R803800,bread,Bakery,15,7.61,€114.15,60.61,
05.01.2026,R932134,Soda,Beverages,12,3.91,46.92,36.7%,--
05 Jan 2026,R690144,Frozen  Pizza,Frozen,5,5.39,26.95,€20.41,nan
"Jan 05, 2026",R124911,Milk,Dairy,5,1.56,7.8,4.94,Mobile
05/01/2026,R678009,Bread,Bakery,11,7.1,"78,10",43.1,card
01/05/2026,R217938,frozen pizza,Frozen,8,7.79,62.32,46.45,-
05.01.2026,R290663,Milk,Dairy,1,5.32,5.32,2.91,Mobile
01/05/2026,R266492,Bread,Bakery,11,3.57,39.27,26.23,Cash
"Jan 05, 2026",R528187,  Canned Soup  ,Canned Goods,1,9.64,9.64,7.66,Mobile
05-01-2026,R575055,Chips,Snacks,1,6.82,6.82,5.22,Card
2026-01-05,R555057,  Frozen Pizza  ,Frozen,9,5.22,46.98,31.21,card
06/01/2026,R841808,Canned Soup,Canned Goods,20,5.08,101.6,78.88,card
06-01-2026,R177878,Chips,Snacks,9,2.08,18.72 USD,9.51,
06.01.2026,R240022,Frozen Pizza,Frozen,13,4.4,57.2,45.75,Cash
--,R102897,Soda,Beverages,8,9.85,78.80,55.29,
2026-01-06,R594189,Bread,Bakery,16,1.01,16.16,10.57,card
2026-01-06,R443432,Bread,Bakery,10,3.03,30.3,19.01,CASH
NONE,R797432,Bread,Bakery,2,9.34,18.68 USD,null,CASH
2026/01/06,R771092,Chips,Snacks,6,₺7.17,$43.02,33.52 EUR,Mobile
06.01.2026,R801443,Canned Soup,Canned Goods,14,3.89,54.46,£41.40,
01/06/26,R904625,Bread,Bakery,10,1.75,"17,50",10.2%,Card
2026-01-06,R978164,Chips,Snacks,14,8.17,114.38,70.76,card
06.01.2026,R386125,Soda,Beverages,16,7.9,126.4,93.8%,
NA,R705614,Bread,Bakery,17,1.52,25.84,20.33,CASH
06/01/2026,R660182,Milk,Dairy,6,3.33,19.98 TRY,14.57,CASH
06/01/2026,R624371,Frozen Pizza,Frozen,14,9.07,126.98,86.72,NONE
"Jan 06, 2026",R794888,Bread,Bakery,15,7.51,112.65,€63.04,CASH
01/06/26,R247750,Bread,Bakery,11,8.66,95.26,56.1,n/a
06/01/2026,R605181,Cereal,Breakfast,10,5.23,52.3,36.87,Card
01/06/2026,R544410,Soda,Beverages,16,₺9.88,158.08,120.75,
06/01/26,R370514,Cereal,Breakfast,14,6.58,92.12,59.97,CASH
2026/01/06,R795717,Cereal,Breakfast,10,9.7,NONE,55.36,Card
2026/01/06,R526899,Frozen Pizza,Frozen,19,2.88,54.72,33.55,
01/06/26,R364580,Soda,Beverages,14,5.99,83.86,52.05,Mobile
"Jan 06, 2026",R170680,Cereal,Breakfast,11,9.71,₺106.81,"56,68",Card
2026-01-06,R615419,Frozen Pizza,Frozen,6,3.56,21.36,13.61,Cash
2026/01/06,R638548,Milk,Dairy,18,9.14,164.52,108.89,
06.01.2026,R509063,Milk,Dairy,12,£4.90,58.8,₺41.90,NONE
2026-01-06,R354320,FROZEN PIZZA,Frozen,20,5.73,114.6,67.96,Cash
06 Jan 2026,R500173,Cereal,Breakfast,6,8.33,49.98,33.09,Cash
2026-01-06,R857465,Soda,Beverages,5,8.09,40.45,31.5%,Mobile
06-01-2026,R963899,Bread,Bakery,17,9.95,169.15,109.09,Card
"Jan 06, 2026",R623979,Frozen Pizza,Frozen,12,8.32,99.84,"72,52",Mobile
01/06/2026,R278483,Cereal,Breakfast,2,1.5,3.0%,1.8,Card
06-01-2026,R706965,Cereal,Breakfast,15,9.31,139.65,£70.77,
06.01.2026,R519148,Chips,Snacks,2,3.64,7.28,3.87,Mobile
06.01.2026,R882371,Chips,Snacks,8,5.75,46.0,34.61,Mobile
-,R269534,Chips,Snacks,8,£2.87,22.96,16.38,Cash
01/06/26,R438722,Canned Soup,Canned Goods,9,9.46,85.14,57.45,Cash
06 Jan 2026,R250765,Bread,Bakery,5,9.5,47.5,24.42,Cash
06-01-2026,R441916,Milk,Dairy,12,4.82,57.84,39.76,CASH
01/06/26,R800224,Bread,Bakery,5,6.72,33.60 USD,21.33,CASH
06/01/2026,R564634,  Soda  ,Beverages,16,4.07,65.12,39.3%,card
2026-01-06,R575142,Soda,Beverages,10,9.08,90.8,60.63,Card
2026/01/06,R615297,Cereal,Breakfast,17,6.8%,115.77,75.27,CASH
06/01/26,R248369,Soda,Beverages,11,2.34,₺25.74,19.08,
01/06/2026,R711057,Bread,Bakery,7,8.40,58.8,35.79,Cash
01/06/2026,R470757,Cereal,Breakfast,14,3.10,43.4,30.08,Mobile
01/06/26,R191184,Soda,Beverages,19,6.11,116.09 TRY,"82,68",Cash
06 Jan 2026,R825514,Cereal,Breakfast,4,2.84,11.36,6.7%,NA
2026-01-06,R196748,Chips,Snacks,18,4.74,$85.32,$47.41,Cash
06.01.2026,R948895,Cereal,Breakfast,10,6.04,60.4,33.15,card
06-01-2026,R198671,Milk,Dairy,4,8.42,33.68,17.93,card
07-01-2026,R824337,Milk,Dairy,14,8.93,125.02,85.99,card
07-01-2026,R385664,Canned Soup,Canned Goods,3,6.57,19.71,15.1,Cash
"Jan 07, 2026",R259408,Soda,Beverages,19,4.31 EUR,81.89,41.63 EUR,Mobile
2026-01-07,R430780,Cereal,Breakfast,13,7.8,"101,40",57.06,nan
"Jan 07, 2026",R123813,  Frozen Pizza  ,Frozen,15,9.79,146.85,116.2,card
2026-01-07,R130700,Canned Soup,Canned Goods,9,4.62,41.58,28.24,Card
07 Jan 2026,R454046,Frozen Pizza,Frozen,11,5.71,62.81 USD,31.57,Card
01/07/2026,R249045,Cereal,Breakfast,16,3.64,58.24,€44.52,
07-01-2026,R425912,Soda,Beverages,18,8.55,153.9%,83.48,card
07-01-2026,R657726,milk,Dairy,8,4.86,38.88,25.77,Card
07 Jan 2026,R342103,Frozen Pizza,Frozen,8,4.7,37.6,23.75,Mobile
07/01/26,R208463,Bread ,Bakery,5,1.35,6.75,3.84 EUR,
07/01/2026,R206931,Soda,Beverages,9,8.19,73.71,45.03,card
07.01.2026,R283972,Bread,Bakery,7,8.9,62.3,32.57,card
07-01-2026,R404158,Canned Soup,Canned Goods,8,4.42,35.36,25.67,CASH
01/07/26,R533756,Frozen Pizza,Frozen,9,6.69,60.21,NULL,
"Jan 07, 2026",R879872,Milk,Dairy,5,5.47,27.35,14.9,Mobile
01/07/26,R701449,Milk,Dairy,13,8.18,106.34,60.56 USD,Cash
07-01-2026,R881718,Soda,Beverages,2,5.89,11.78,6.14,CASH
2026/01/07,R367473,Cereal,Breakfast,15,1.31,19.65 TRY,13.9,none
"Jan 07, 2026",R459446,Frozen Pizza,Frozen,13,4.85,63.05,37.75,NONE
01/07/26,R794434,Bread,Bakery,4,4.73,18.92,14.74,CASH
07/01/26,R735478,Frozen Pizza,Frozen,11,6.27,68.97,39.33,CASH
07-01-2026,R142943,Bread,Bakery,2,1.48,2.96,1.88,Cash
07/01/26,R311805,Cereal,Breakfast,19,3.72,70.68,"41,32",null
null,R534693,Chips,Snacks,6,7.07,42.42,31.51,Card
07/01/26,R928790,Chips,Snacks,9,6.73,60.57,$47.56,Cash
01/07/26,R997852,Bread,Bakery,1,5.39,5.39,3.63,Cash
