WHOLESALE SALES REPORT,,,,,,,,,,
Period: Jan-Jun 2026,,,,,,,,,,
,,,,,,,,,,
Date,Invoice #,Customer Name,Product,Qty,Unit Price,Amount,Cost,,Notes,Amount
07 Jan 2026,INV-699704,Megamart Corp,Budget Widget,129,272.34,35131.86,27 030.55,,,35131.86
2026/01/07,INV-329642,BigBuy Distribution,  Budget Widget  ,189,102.66,19402.74,16385.34,,,19402.74
2026/01/08,INV-883790,BigBuy Distribution,Gadget Lite,183,231.56,42375.48,33555.77,,VIP,42375.48
"Jan 08, 2026",INV-178957,SuperStore Inc,Gadget Pro,61,57.0,3477.0,2555.08,,,3477.0
2026/01/08,INV-213609,SuperStore Inc,Standard Widget,183,222.78,40 768.74,"34,449.00",,,40 768.74
,INV-419149,Small Dealer Co,Standard Widget,16,193.47,3095.52,2587.21,,,3095.52
01/08/26,INV-527940,MegaMart Corp,Gadget Pro,34,85.74,2915.16,2140.85,,VIP,2915.16
"Jan 08, 2026",INV-196126,MegaMart Corp,Budget Widget,186,123.75,23017.5%,16361.89,,VIP,23017.5%
01/09/2026,INV-236306,  MegaMart Corp  ,Gadget Lite ,22,240.3,5286.6,"3.493,87",,,5286.6
2026/01/09,INV-638169,bigbuy distribution,Gadget Lite,54,50.78,2742.1%,"2,239.25",,,2742.1%
"Jan 09, 2026",INV-177060,MegaMart Corp ,Gadget Lite,125,161.07,20133.75,16838.94,,VIP,20133.75
09-01-2026,INV-550961,BigBuy Distribution,Premium Widget,165,61.53,10152.45,"6,411.76",,N/A,10152.45
09/01/26,INV-162894,SuperStore Inc,Gadget Pro,115,114.9,"13,213.50","₺9,426.18",,,"13,213.50"
"Jan 09, 2026",INV-335137,BigBuy Distribution,Gadget Lite,181,54.22,9813.82,6755.83,,NA,9813.82
10.01.2026,INV-456331,BigBuy Distribution,Budget Widget,39,233.53,9107.67,nan,,,9107.67
01/10/26,INV-725185,MegaMart Corp,Budget  Widget,56,263.56,14759.36,"10.945,25",,,14759.36
10.01.2026,INV-147623,MegaMart Corp,Premium  Widget,49,64.07,"3,139.43 EUR","2,368.57",,,"3,139.43 EUR"
10/01/26,INV-685864,Small Dealer Co,Standard Widget,163,35.34,5760.42,"3,750.64",,-,5760.42
01/11/26,INV-582446,Small Dealer Co,Premium Widget,199,31.84,6336.16,3831.38,,,6336.16
11-01-2026,INV-913934,MegaMart Corp,Budget Widget,121,256.46,"31,031.66",20506.62,,VIP,"31,031.66"
2026/01/11,INV-258290,BigBuy Distribution,BUDGET WIDGET,196,288.3,"$56,506.80","43,022.06 EUR",,,"$56,506.80"
01/11/26,INV-681242,MegaMart Corp,Gadget Pro,130,143.82,"18,696.60 EUR",12633.4%,,N/A,"18,696.60 EUR"
01/11/2026,INV-481574,Small Dealer Co,Premium Widget,156,202.51,31591.6%,--,,--,31591.6%
01/11/26,INV-795847,BigBuy Distribution,Budget Widget,109,134.46,14656.14,"10,033.47",,,14656.14
11 Jan 2026,INV-633188,BigBuy Distribution,Standard Widget,89,290.96,25895.44,20 059.13,,nan,25895.44
01/11/26,INV-237414,MegaMart Corp,Budget Widget,102,106.48,"€10,860.96","9,099.23",,,"€10,860.96"
12-01-2026,INV-424500,SuperStore Inc,Gadget Pro,51,70.64,3602.64,2785.6%,,,3602.64
2026-01-12,INV-772324,SuperStore Inc,Gadget Pro,104,209.93,21832.72,16213.08,,,21832.72
12 Jan 2026,INV-626392,BigBuy Distribution,Gadget Pro,151,281.6,42521.6,"₺33,075.44",,,42521.6
2026-01-12,INV-183074,SuperStore Inc,Budget Widget,108,298.47,32234.76,22362.16,,,32234.76
"Jan 12, 2026",INV-725726,BigBuy Distribution,Premium Widget,65,253.79,"16,496.35","12,161.13",,VIP,"16,496.35"
12/01/26,INV-681070,Megamart Corp,gadget lite,171,164.31,28 097.01,"18,557.64",,n/a,28 097.01
01/12/2026,INV-970720,Small Dealer Co,Premium Widget,130,32.19,"4,184.70","2,915.57",,,"4,184.70"
2026-01-12,INV-889882,Small Dealer Co,Gadget Pro,171,71.04,"12.147,84","7.698,25",,-,"12.147,84"
12/01/26,INV-379676,BigBuy Distribution,Standard Widget ,101,261.4,26 401.40,16156.36,,,26 401.40
2026-01-12,INV-178686,small dealer co,Premium Widget,30,140.57,"4,217.10",3 579.37,,,"4,217.10"
"Jan 12, 2026",INV-488984,BigBuy Distribution,  Gadget Pro  ,141,244.31,34447.71,"$26,519.66",,,34447.71
01/12/26,INV-399449,Small Dealer Co,Budget Widget,29,180.7,"5,240.30","₺3,837.81",,,"5,240.30"
01/13/2026,INV-932250,MegaMart Corp,Standard Widget,44,258.79,11386.8%,8118.88,,,11386.8%
13 Jan 2026,INV-963333,Superstore Inc,  Budget Widget  ,41,295.84,12129.44,"$9,679.49",,--,12129.44
13-01-2026,INV-462831,MegaMart Corp,Gadget Lite,42,292.27,"€12,275.34",9336.44,,,"€12,275.34"
2026-01-13,INV-185168,BigBuy Distribution,gadget lite,30,90.17,2705.1,"€2,052.53",,,2705.1
2026-01-13,INV-265759,BigBuy Distribution,Premium  Widget,176,79.03,13909.28,10335.07,,rush order,13909.28
"Jan 13, 2026",INV-228473,Small Dealer Co ,Gadget Pro,133,150.04,19955.32,13670.35,,VIP,19955.32
13.01.2026,INV-621530,Small Dealer Co,Budget Widget,73,59.45,"£4,339.85",2658.81,,,"£4,339.85"
13 Jan 2026,INV-153642,megamart corp,premium widget,110,161.52,"17,767.20 EUR",14954.15,,,"17,767.20 EUR"
13/01/26,INV-520884,SuperStore Inc,Gadget Lite,102,174.9,"17,839.80","11,031.83",,,"17,839.80"
13/01/26,INV-658198,MegaMart Corp,Gadget Lite,21,30.9,£648.90,505.1,,,£648.90
01/14/26,INV-603787,BigBuy Distribution,Gadget Lite,131,248.41,32541.71,--,,,32541.71
14/01/26,INV-317413,Small Dealer Co,Standard Widget,47,250.07,"11,753.29 EUR",7 763.63,,,"11,753.29 EUR"
14-01-2026,INV-392559,BigBuy Distribution,Gadget Lite,179,153.94,27555.26,19129.03,,,27555.26
14/01/26,INV-498138,BigBuy Distribution,Gadget Lite,67,283.62,19002.54,"16,067.88 EUR",,VIP,19002.54
01/14/26,INV-876880,BigBuy Distribution,Gadget Pro,47,101.33,"4,762.51",3199.97,,rush order,"4,762.51"
"Jan 14, 2026",INV-600641,SUPERSTORE INC,Gadget Lite,72,34.21,"2,463.12 USD",2035.27,,,"2,463.12 USD"
01/14/2026,INV-885386,BigBuy Distribution,Standard Widget,92,99.92,9192.64,5651.55,,,9192.64
01/14/2026,INV-114768,MegaMart Corp,Budget Widget,12,103.55,"1,242.60 USD",932.81,,,"1,242.60 USD"
14-01-2026,INV-107161,BigBuy Distribution,Budget Widget,155,208.83,32 368.65,20984.28,,,32 368.65
14/01/26,INV-837733,Small Dealer Co,Budget Widget,70,145.09,10156.3,6771.7%,,,10156.3
15/01/26,INV-837952,BIGBUY DISTRIBUTION,Premium Widget,104,192.1,19978.4,"13,081.50 TRY",,VIP,19978.4
"Jan 15, 2026",INV-947975,MegaMart Corp,  Budget Widget  ,154,51.42,7918.7%,6391.91,,VIP,7918.7%
15/01/2026,INV-595002,Small Dealer Co,Premium Widget,43,163.71,7039.53,NONE,,N/A,7039.53
2026/01/15,INV-224395,BigBuy Distribution,Premium Widget,114,70.39,8024.46,5 086.36,,N/A,8024.46
15/01/2026,INV-133782,Small Dealer Co,Standard Widget,145,55.66,8070.7,6 817.17,,,8070.7
15.01.2026,INV-345536,  MegaMart Corp  ,Gadget Pro,71,77.7,5516.7,3449.17,,,5516.7
2026-01-15,INV-461145,BigBuy Distribution,Gadget Lite,157,187.42,"29.424,94","22,602.27",,,"29.424,94"
16-01-2026,INV-367382,BigBuy Distribution,Gadget Lite,188,136.57,"25.675,16","₺16,362.89",,n/a,"25.675,16"
16-01-2026,INV-449138,BigBuy Distribution,Standard Widget,175,42.14,7374.5,5 253.94,,NULL,7374.5
2026/01/16,INV-637727,MegaMart Corp ,Budget Widget,64,282.4,"18.073,60","15.191,21",,,"18.073,60"
16-01-2026,INV-445888,Small Dealer Co,Gadget Pro,35,244.79,n/a,"6.687,94",,,n/a
"Jan 16, 2026",INV-292988,Small Dealer Co,Standard Widget,155,253.34,"39,267.70 TRY",28462.23,,,"39,267.70 TRY"
01/16/26,INV-606676,MegaMart Corp,Gadget Lite,144,29.47,4243.68,"3.444,49",,,4243.68
16/01/26,INV-364679,MegaMart  Corp,gadget pro,11,169.02,1 859.22,1306.72,,,1 859.22
2026-01-16,INV-767678,BigBuy Distribution,Budget  Widget,111,42.13,"4,676.43",3927.38,,,"4,676.43"
16/01/2026,INV-817675,SuperStore Inc,Premium Widget,31,159.96,4958.76,3513.17,,,4958.76
17/01/26,INV-447843,MegaMart Corp,Gadget Lite,55,280.05,15402.75,10452.63,,,15402.75
17/01/26,INV-493663,SuperStore Inc,Gadget Pro,186,222.77,"41,435.22",30 048.75,,,"41,435.22"
2026-01-17,INV-423241,SuperStore Inc,GADGET PRO,184,184.05,33865.2,"₺23,536.93",,,33865.2
-,INV-506637,BigBuy Distribution,Gadget Pro,79,48.62,3840.98,"2,388.41",,,3840.98
"Jan 17, 2026",INV-722651,superstore inc,Premium Widget,156,165.91,"25,881.96","19,963.51",,,"25,881.96"
01/17/26,INV-829066,SuperStore Inc,Gadget Lite,127,49.95,6343.65,4289.35,,,6343.65
01/17/26,INV-309505,Small Dealer Co,Standard Widget,90,69.74,6276.6,4390.86,,,6276.6
18.01.2026,INV-353777,SuperStore Inc,Gadget Lite,184,234.93,"43,227.12",26227.15,,,"43,227.12"
18/01/26,INV-722665,SuperStore Inc,Budget Widget,193,138.48,26726.64,18554.91,,,26726.64
18/01/26,INV-708717,MegaMart Corp,Premium  Widget,73,204.13,14901.49,none,,NULL,14901.49
"Jan 18, 2026",INV-922366,SuperStore Inc,Gadget Lite,124,124.75,15469.0,"11,072.18",,,15469.0
01/18/2026,INV-447067,Small Dealer Co,Standard Widget,99,153.33,"15,179.67",10770.6%,,NULL,"15,179.67"
18/01/26,INV-296041,Small  Dealer  Co,Gadget Lite,128,84.92,"10.869,76",7 622.55,,VIP,"10.869,76"
18.01.2026,INV-744333,BigBuy Distribution,Budget Widget,60,148.11,8886.6,5914.82,,,8886.6
"Jan 18, 2026",INV-402865,MegaMart Corp,Gadget  Lite,182,57.51,10 466.82,"₺6,588.50",,,10 466.82
"Jan 18, 2026",INV-612438,SuperStore Inc,Standard Widget,90,255.76,"23.018,40",17375.5,,,"23.018,40"
2026/01/18,INV-668373,megamart corp,standard widget,154,28.64,"4,410.56 TRY",3485.51,,rush order,"4,410.56 TRY"
01/18/26,INV-822608,Small Dealer Co,Premium Widget,149,81.19,12097.31,8544.2%,,,12097.31
18/01/26,INV-812296,Small Dealer Co,Budget Widget,52,192.52,10011.04,7970.91,,rush order,10011.04
19 Jan 2026,INV-573947,Small Dealer Co ,STANDARD WIDGET,25,297.9,7447.5,6082.83,,rush order,7447.5
19/01/26,INV-517035,MegaMart Corp,Premium Widget,113,164.37,18573.81,12436.21,,,18573.81
01/19/2026,INV-562721,  Small Dealer Co  ,Standard Widget,64,158.52,10145.28,nan,,,10145.28
19.01.2026,INV-861253,MegaMart  Corp,Gadget Pro,119,76.65,9121.35,7043.03,,,9121.35
20 Jan 2026,INV-193670,  MegaMart Corp  ,Gadget  Pro,190,46.65,8863.5,5791.01,,,8863.5
20-01-2026,INV-758589,MegaMart Corp,Premium Widget,90,122.92,11062.8,7465.33,,,11062.8
01/20/26,INV-856211,Small Dealer Co,Standard Widget,167,212.24,35444.08,28 886.59,,,35444.08
20-01-2026,INV-623850,BigBuy Distribution,  Gadget Lite  ,186,27.51,5116.86,4153.7,,,5116.86
2026-01-20,INV-927630,MegaMart Corp,Gadget Lite,145,268.84,38 981.80,N/A,,rush order,38 981.80
20 Jan 2026,INV-714923,BigBuy Distribution,Gadget Pro,170,219.54,37321.8,29550.56,,,37321.8
21.01.2026,INV-275073,Small Dealer Co,  Budget Widget  ,196,286.96,56244.16,--,,NONE,56244.16
21.01.2026,INV-910894,SuperStore Inc,Budget Widget,78,225.22,"17,567.16","11,058.78",,,"17,567.16"
21 Jan 2026,INV-855276,MegaMart Corp,Premium Widget,68,227.42,15 464.56,nan,,,15 464.56
21/01/26,INV-578933,BigBuy Distribution,BUDGET WIDGET,29,180.03,5220.87,3288.37,,rush order,5220.87
2026-01-22,INV-344315,SuperStore Inc,Budget Widget,84,177.87,14941.08,"10.099,83",,,14941.08
22-01-2026,INV-986575,BigBuy Distribution,Gadget  Lite,172,255.08,"43,873.76","35.945,76",,rush order,"43,873.76"
22.01.2026,INV-992247,Small Dealer Co,Gadget Lite,189,270.76,51173.64,36569.43,,,51173.64
23.01.2026,INV-993892,BigBuy Distribution,Gadget Pro ,91,146.77,13356.07,"₺8,793.67",,,13356.07
-,INV-996114,MegaMart Corp,Premium Widget,50,246.13,12306.5%,none,,,12306.5%
23/01/2026,INV-122859,SuperStore Inc,Gadget Pro ,34,149.37,5078.58,4 067.81,,rush order,5078.58
nan,INV-547389,SuperStore Inc,Premium Widget,175,144.16,25228.0,15949.09,,,25228.0
23 Jan 2026,INV-309146,BigBuy Distribution,  Standard Widget  ,64,274.33,17557.12,"11,741.24",,rush order,17557.12
none,INV-161437,Superstore Inc,Gadget Lite,171,298.34,"51,016.14 EUR",37543.5,,,"51,016.14 EUR"
01/23/2026,INV-284654,BigBuy  Distribution,  Gadget Pro  ,159,299.89,47682.51,40219.96,,,47682.51
2026-01-23,INV-194641,BigBuy  Distribution,Standard Widget,198,215.34,42637.32,"35.324,81",,rush order,42637.32
24 Jan 2026,INV-714483,SuperStore Inc,STANDARD WIDGET,15,167.41,"£2,511.15","€1,507.12",,,"£2,511.15"
01/24/26,INV-954017,BigBuy Distribution,Premium Widget,87,110.33,9598.71,8101.0%,,,9598.71
24/01/2026,INV-620287,Small Dealer Co,Standard Widget,88,225.52,19845.76,13368.69,,,19845.76
25/01/2026,INV-855408,MegaMart Corp,Budget Widget,70,117.11,8197.7,NULL,,VIP,8197.7
2026/01/25,INV-373812,Megamart Corp,Premium Widget,108,142.7,15 411.60,"10,863.84 TRY",,,15 411.60
2026/01/25,INV-315535,MegaMart Corp,Premium Widget,97,67.63,6560.11,"4,551.83 TRY",,,6560.11
2026-01-25,INV-317005,Small Dealer Co,Standard Widget,188,175.15,N/A,"27,376.29 USD",,,N/A
"Jan 25, 2026",INV-376195,BigBuy Distribution,Standard Widget,30,152.6,4578.0,2 879.00,,,4578.0
26-01-2026,INV-599397,megamart corp,Budget Widget,48,230.63,"11.070,24",8489.4,,,"11.070,24"
26-01-2026,INV-232315,MegaMart Corp,Budget Widget,111,272.78,30278.58,23574.19,,,30278.58
2026-01-26,INV-924758,Small Dealer Co,Premium Widget,30,296.72,8901.6,"6,309.88",,none,8901.6
26.01.2026,INV-501650,Small Dealer Co,Gadget Lite,38,136.04,5169.52,3293.24,,,5169.52
none,INV-426053,Small Dealer Co,Gadget Pro,19,68.22,1 296.18,908.29,,,1 296.18
2026/01/26,INV-960899,small dealer co,Budget Widget,188,211.76,39810.9%,33 565.51,,,39810.9%
"Jan 27, 2026",INV-629663,SuperStore Inc ,Gadget Lite,26,107.11,2784.86,"2.023,75",,,2784.86
01/27/26,INV-917711,MegaMart Corp,Gadget Pro ,184,28.56,5255.0%,"3,642.36",,,5255.0%
01/27/26,INV-944193,SuperStore Inc,Standard Widget,175,83.03,14530.25,9469.11,,,14530.25
01/28/26,INV-396408,small dealer co,Budget Widget,106,258.44,27394.64,"19,580.31",,NONE,27394.64
01/28/2026,INV-856320,MegaMart Corp,Budget Widget,133,37.87,"5,036.71","4.266,55",,,"5,036.71"
2026/01/28,INV-631958,Small Dealer Co,Premium  Widget,85,92.64,7874.4,5548.63,,,7874.4
28-01-2026,INV-880360,SUPERSTORE INC,Budget Widget,178,265.42,47244.76,30486.29,,VIP,47244.76
28 Jan 2026,INV-655575,Small Dealer Co,Budget Widget,94,124.07,11662.58,8704.86,,VIP,11662.58
01/28/2026,INV-428638,Small Dealer Co,Budget Widget,23,263.84,6068.32,3869.73,,VIP,6068.32
NULL,INV-866151,MegaMart Corp ,Premium Widget ,125,96.59,12073.75,9 541.86,,,12073.75
"Jan 29, 2026",INV-863187,BigBuy Distribution,Premium  Widget,145,73.36,10637.2,"8,182.00",,rush order,10637.2
01/29/2026,INV-229144,BigBuy Distribution,Gadget Lite,121,268.63,"32.504,23",27 591.80,,,"32.504,23"
"Jan 29, 2026",INV-835962,MegaMart Corp,Budget Widget,106,265.43,28135.58,18680.54,,VIP,28135.58
01/29/26,INV-309452,SuperStore Inc,  Standard Widget  ,187,212.01,"₺39,645.87",23879.74,,VIP,"₺39,645.87"
29/01/2026,INV-917392,Superstore Inc,Budget Widget,101,216.96,21912.96,"14.765,78",,,21912.96
29/01/2026,INV-199613,MegaMart Corp,Gadget Lite,195,222.6,43407.0,none,,,43407.0
29.01.2026,INV-976303,MegaMart Corp,Premium Widget,45,205.74,9258.3,5949.64,,,9258.3
29 Jan 2026,INV-917012,Small  Dealer  Co,Gadget Pro,117,201.68,23596.56,18859.02,,,23596.56
01/30/26,INV-858931,MegaMart Corp,Gadget Lite,185,266.39,49 282.15,"38,529.75",,nan,49 282.15
null,INV-630126,SuperStore Inc,Gadget Lite,181,264.48,"47.870,88",34 934.97,,,"47.870,88"
30/01/2026,INV-621533,small dealer co,GADGET PRO,52,40.96,2129.92,"1.539,74",,,2129.92
2026-01-30,INV-956255,MegaMart Corp,Premium Widget,113,135.45,15305.85,11315.35,,,15305.85
30/01/2026,INV-148001,Small Dealer Co,Standard Widget,94,176.84,16622.96,"12.549,33",,none,16622.96
"Jan 30, 2026",INV-579605,Small Dealer Co,STANDARD WIDGET,45,250.11,11 254.95,"8.842,20",,VIP,11 254.95
01/30/26,INV-735605,SuperStore Inc,Gadget Lite,137,21.21,2905.77,2278.28,,,2905.77
30/01/26,INV-763311,Small Dealer Co,budget widget,117,294.26,34428.42,"€28,540.39",,none,34428.42
01/31/26,INV-698357,SuperStore Inc,Standard  Widget,169,220.03,37185.07,28693.96,,,37185.07
--,INV-207458,BIGBUY DISTRIBUTION,Gadget Pro,118,246.33,"£29,066.94",21238.7,,NULL,"£29,066.94"
2026-01-31,INV-113595,SuperStore Inc,Gadget Lite,200,201.19,40238.0,28054.81,,,40238.0
31/01/2026,INV-296059,SuperStore Inc,Budget  Widget,168,263.28,44231.04,36053.22,,rush order,44231.04
01/31/26,INV-676884,MEGAMART CORP,Standard Widget,106,31.38,3326.3%,"$2,227.87",,rush order,3326.3%
01/31/26,INV-656268,MegaMart Corp,Budget Widget,191,109.0,20 819.00,"13.636,25",,,20 819.00
01.02.2026,INV-125905,MegaMart Corp,Gadget Lite,39,207.3,8084.7,5751.59,,,8084.7
01-02-2026,INV-663876,BigBuy  Distribution,  Gadget Lite  ,141,244.79,"34,515.39",24553.88,,,"34,515.39"
01 Feb 2026,INV-431773,MegaMart Corp,Gadget Pro,185,63.05,"11,664.25",8337.68,,,"11,664.25"
01.02.2026,INV-902448,Small Dealer Co,Premium  Widget,182,53.13,9669.66,5816.06,,rush order,9669.66
2026-02-01,INV-680412,SMALL DEALER CO,Gadget Pro,111,250.19,27771.09,16876.62,,,27771.09
02/01/2026,INV-331512,SuperStore Inc,Gadget Lite,41,31.7,"1.299,70",965.91,,nan,"1.299,70"
02/01/26,INV-610856,BigBuy Distribution,Gadget Lite ,59,52.09,3073.31,2359.52,,rush order,3073.31
02/01/2026,INV-105066,BigBuy Distribution,Budget Widget,42,207.96,"8,734.32 EUR",5752.71,,,"8,734.32 EUR"
02/01/2026,INV-664781,superstore inc,Budget  Widget,66,219.42,"14,481.72 EUR","11,009.14",,rush order,"14,481.72 EUR"
01/02/26,INV-595036,BigBuy Distribution,Standard Widget,197,268.17,52829.49,32707.56,,,52829.49
02/02/2026,INV-567896,Small Dealer Co,  Budget Widget  ,67,269.6,18063.2,13500.44,,,18063.2
"Feb 02, 2026",INV-148693,SuperStore Inc,Standard Widget,154,285.64,43988.6%,NULL,,,43988.6%
02-02-2026,INV-641455,BigBuy Distribution,Premium Widget,36,217.05,"₺7,813.80",5706.76,,rush order,"₺7,813.80"
2026/02/02,INV-855242,BigBuy Distribution,Gadget Pro,98,156.32,"€15,319.36","11,038.02",,,"€15,319.36"
02/02/26,INV-690982,Small Dealer Co ,Premium Widget,182,154.07,"€28,040.74",18301.52,,null,"€28,040.74"
03 Feb 2026,INV-238635,MegaMart Corp,Budget Widget ,65,145.78,"€9,475.70",8037.23,,VIP,"€9,475.70"
02/03/26,INV-665482,MegaMart Corp,Premium Widget,61,166.36,10147.96,8395.76,,,10147.96
03.02.2026,INV-600318,Small Dealer Co,Premium Widget,143,137.79,19703.97,16 131.76,,VIP,19703.97
04 Feb 2026,INV-783226,BigBuy  Distribution,Premium Widget,163,265.49,"43,274.87",30385.96,,,"43,274.87"
04 Feb 2026,INV-871523,BigBuy Distribution,Gadget  Lite,76,259.39,"19.713,64","13,915.67 USD",,,"19.713,64"
02/04/2026,INV-594580,MEGAMART CORP,Standard Widget,68,145.05,9863.4,7642.44,,,9863.4
04-02-2026,INV-991884,Small Dealer Co,Gadget Lite,32,37.94,1214.08,795.76,,,1214.08
04 Feb 2026,INV-714549,BigBuy Distribution,GADGET LITE,59,29.41,1735.19,1301.18,,,1735.19
02/04/26,INV-104877,MegaMart Corp,Standard Widget,198,217.01,42967.98,35654.59,,,42967.98
2026/02/05,INV-913274,Small Dealer Co,Standard Widget,139,49.81,6923.59,4279.45,,,6923.59
