RESTAURANT SALES REPORT,,,,,,,,,
La Bella Cucina,,,,,,,,,
Q1-Q2 2026,,,,,,,,,
,,,,,,,,,
Date,Order ID,Item Name,Category,Qty,Price,Amount,Cost,Waiter,Table
02 Jan 2026,ORD-54382,Tiramisu,Desserts,3,8,24.0%,9,MARY,T5
2026/01/02,ORD-24103,Margherita Pizza,Pizza,3,15,45,15,MARY,T1
02/01/2026,ORD-41780,Caesar Salad,Salads,1,12,12,4,john,T2
2026-01-02,ORD-69518,Margherita Pizza,Pizza,3,15,45.00,15,MARY,
01/02/2026,ORD-90295,Margherita Pizza,Pizza,2,15,30,10,MARY,t3
02 Jan 2026,ORD-49088,Coffee,Drinks,1,4,4,"1,00",Sarah,T2
02.01.2026,ORD-72210,Soda,Drinks,2,3,6,NULL,Sarah,
02.01.2026,ORD-98625,SODA,Drinks,1,3,3,0.5,,
02.01.2026,ORD-61488,Caesar Salad,Salads,1,12,12,4,John,n/a
02.01.2026,ORD-51499,Soda,Drinks,2,3,6.00,"1,00",sarah,T5
2026/01/02,ORD-71418,French Fries,Sides,1,5,5,1.5,sarah,T1
2026/01/02,ORD-68445,Coffee,Drinks,1,4,4.00,1.00,,
01/02/2026,ORD-94926,Tiramisu,Desserts,3,8,24,9.0%,John,t3
03-01-2026,ORD-80289,  French Fries  ,Sides,2,5,10,3.0,Sarah,t3
01/03/2026,ORD-11920,Pepperoni Pizza,Pizza,2,18,none,12,john,T2
03 Jan 2026,ORD-14306,Tiramisu,Desserts,2,8,16,6,sarah,n/a
01/03/26,ORD-39894,Tiramisu,Desserts,3,8,24,9,john,T5
01/03/2026,ORD-21286,Pepperoni Pizza ,Pizza,3,18,54,18,Sarah,T5
2026/01/03,ORD-15683,French Fries,Sides,3,5,15,4.5%,John,
03/01/26,ORD-87032,Chicken Wings,Appetizers,1,10,,4,sarah,t3
"Jan 03, 2026",ORD-66747,Soda,Drinks,1,3,3,"0,50",Sarah,T2
"Jan 03, 2026",ORD-89948,Coffee,Drinks,1,4,4,NONE,MARY,NONE
-,ORD-41628,Caesar Salad,Salads,3,12,36,12,John,T1
01/03/2026,ORD-25132,Beef Burger,Burgers,2,14,28,12.00,,t3
03/01/26,ORD-88632,Tiramisu,Desserts,1,8,8,3,john,T5
01/03/26,ORD-83234,Caesar Salad,Salads,3,12,36,12,sarah,T2
03/01/2026,ORD-68259,Tiramisu,Desserts,2,8,16,6.00,John,T2
03/01/2026,ORD-14674,Caesar Salad,Salads,2,12,24,8,,T2
"Jan 03, 2026",ORD-97269,Bruschetta,Appetizers,3,7,21,7.5,John,T2
03/01/2026,ORD-61840,bruschetta,Appetizers,3,7,21,7.5,none,T2
01/03/2026,ORD-73069,Pepperoni Pizza,Pizza,3,18,54,18,john,T1
03/01/26,ORD-64815,Pepperoni Pizza,Pizza,3,18,54,18,n/a,T1
"Jan 03, 2026",ORD-30803,Coffee,Drinks,1,4,4,1,,t3
03/01/2026,ORD-59505,Pepperoni Pizza,Pizza,2,18,36.00,12,john,
2026-01-03,ORD-33581,Coffee,Drinks,1,4,4,NONE,n/a,T5
01/03/2026,ORD-12273,pepperoni pizza,Pizza,1,18,18,6,John,t3
03 Jan 2026,ORD-72295,Chicken Wings,Appetizers,1,10,10.00,4,,
2026-01-03,ORD-54938,Beef Burger,Burgers,3,14,42,18,Sarah,T2
nan,ORD-85398,COFFEE,Drinks,3,4,12.00,3,sarah,
--,ORD-82171,Caesar Salad,Salads,2,12,$24.00,8.00,Sarah,
03/01/26,ORD-69998,Pepperoni Pizza ,Pizza,1,18,18,6.00,NONE,T5
03-01-2026,ORD-93273,Chicken Wings,Appetizers,1,10,10,4.00,John,T1
"Jan 03, 2026",ORD-89016,Coffee,Drinks,1,4,$4.00,1,,
"Jan 03, 2026",ORD-47969,French Fries,Sides,1,5,5,£1.50,John,T2
01/03/2026,ORD-10998,CHICKEN WINGS,Appetizers,1,10,10.00 USD,"4,00",sarah,
2026-01-03,ORD-11548,Pepperoni Pizza,Pizza,1,18,18.00,6,Sarah,N/A
03/01/26,ORD-50560,Soda,Drinks,2,3,6.00 EUR,1.0,John,T2
"Jan 03, 2026",ORD-95718,Beef Burger,Burgers,2,14,28,12,Sarah,T5
03.01.2026,ORD-35801,Tiramisu,Desserts,1,8,8,"3,00",sarah,T2
01/03/2026,ORD-23837,Bruschetta,Appetizers,1,7,7.00,2.5,NA,T1
03/01/2026,ORD-85532,Tiramisu,Desserts,2,8,16,6,sarah,t3
03/01/26,ORD-72212,Margherita Pizza,Pizza,1,15,15,"5,00",MARY,nan
03/01/2026,ORD-59099,Chicken Wings,Appetizers,3,10,30,12.00,sarah,nan
03-01-2026,ORD-52902,Margherita Pizza,Pizza,2,15,30,10,MARY,
01/03/26,ORD-81717,Beef Burger,Burgers,3,14,42.00,18,Sarah,null
01/03/2026,ORD-27899,Coffee,Drinks,2,4,8.0%,2,sarah,T1
03/01/26,ORD-92411,Bruschetta,Appetizers,3,7,21,7.5,sarah,
03/01/2026,ORD-24675,Soda,Drinks,1,3,3,0.50,,T5
01/03/2026,ORD-96003,Caesar Salad,Salads,1,12,-,4,Sarah,T2
01/03/26,ORD-68404,Beef Burger,Burgers,2,14,28,12.00,john,T2
"Jan 03, 2026",ORD-36147,Margherita Pizza,Pizza,1,15,€15.00,$5.00,MARY,T2
2026/01/03,ORD-20909,Pepperoni Pizza,Pizza,3,18,54,18,Sarah,t3
03-01-2026,ORD-88485,Coffee,Drinks,2,4,8,2,Sarah,T2
"Jan 03, 2026",ORD-60081,Pepperoni  Pizza,Pizza,1,18,18,6.00,,t3
01/03/26,ORD-41378,Coffee,Drinks,1,4,4.00,1,Sarah,t3
2026-01-03,ORD-94537,  Chicken Wings  ,Appetizers,2,10,20,8,MARY,T5
nan,ORD-28406,Tiramisu,Desserts,1,8,8,€3.00,MARY,
03/01/2026,ORD-39713,Beef Burger,Burgers,3,14,42.00,18.00,john,T1
03-01-2026,ORD-49883,French  Fries,Sides,3,5,15.0%,4.5,sarah,N/A
01/03/2026,ORD-91955,Caesar Salad,Salads,1,12,12,4.00,john,
2026-01-03,ORD-93534,margherita pizza,Pizza,3,15,45,15,John,
01/03/26,ORD-83204,Tiramisu,Desserts,3,8,24,9.00,,T5
"Jan 03, 2026",ORD-50138,  Caesar Salad  ,Salads,3,12,₺36.00,12,Sarah,T1
03 Jan 2026,ORD-53613,Pepperoni Pizza,Pizza,3,18,54,£18.00,John,
03-01-2026,ORD-19610,Caesar Salad,Salads,1,12,€12.00,4,,N/A
03-01-2026,ORD-56280,Bruschetta,Appetizers,2,7,14,5.0,Sarah,
"Jan 03, 2026",ORD-35336,Pepperoni Pizza,Pizza,3,18,54,18,sarah,--
03.01.2026,ORD-90384,French Fries,Sides,2,5,10,3.0,sarah,T1
NULL,ORD-91996,Coffee,Drinks,3,4,12,3,Sarah,
2026-01-03,ORD-17862,Chicken Wings,Appetizers,1,10,10,4.00,n/a,T2
03-01-2026,ORD-75481,Coffee,Drinks,3,4,12.0%,3,Sarah,t3
"Jan 03, 2026",ORD-24129,Soda,Drinks,1,3,3,0.5,John,t3
03 Jan 2026,ORD-40644,Tiramisu,Desserts,3,8,24,₺9.00,,NONE
2026/01/03,ORD-31488,Beef Burger,Burgers,2,14,28,12,sarah,none
"Jan 03, 2026",ORD-19040,Beef Burger,Burgers,3,14,42,18.00,sarah,T2
03/01/2026,ORD-70120,Coffee,Drinks,2,4,8,"2,00",NA,
01/03/2026,ORD-14679,Margherita Pizza,Pizza,1,15,15,5,MARY,T1
03/01/26,ORD-23517,Coffee,Drinks,3,4,12,3,John,t3
03/01/2026,ORD-11196,Tiramisu,Desserts,1,8,8.00,3,MARY,T5
2026-01-03,ORD-88279,Margherita Pizza,Pizza,1,15,"15,00",5,john,t3
01/03/26,ORD-27131,Soda,Drinks,3,3,9.0%,1.50,MARY,nan
2026-01-03,ORD-59982,PEPPERONI PIZZA,Pizza,1,18,18,6,John,T2
03.01.2026,ORD-60002,Pepperoni Pizza,Pizza,3,18,54,18,MARY,T2
"Jan 03, 2026",ORD-49226,Bruschetta,Appetizers,2,7,14,5.0,John,T1
03 Jan 2026,ORD-10845,Coffee,Drinks,1,4,4,1,Sarah,t3
2026/01/03,ORD-47127,Beef Burger,Burgers,1,14,14.00,6,NA,t3
01/03/2026,ORD-68971,Pepperoni Pizza,Pizza,2,18,36.00,12,sarah,-
03/01/2026,ORD-51749,Chicken Wings,Appetizers,2,10,20.00,8,MARY,nan
01/03/26,ORD-86286,Margherita Pizza,Pizza,2,15,30,NONE,John,T2
2026/01/03,ORD-19303,COFFEE,Drinks,1,4,4,1,john,
03/01/26,ORD-75051,Beef Burger,Burgers,1,14,14,6.00 USD,John,
03/01/26,ORD-72008,Beef Burger,Burgers,2,14,28,12,MARY,NA
2026-01-04,ORD-21692,French  Fries,Sides,2,5,10.00 EUR,3.00,,t3
04-01-2026,ORD-45361,Soda,Drinks,1,3,3,"0,50",john,T2
04-01-2026,ORD-92346,French Fries,Sides,1,5,5,,John,
01/04/26,ORD-57190,  Soda  ,Drinks,3,3,"9,00",1.50 TRY,MARY,T2
"Jan 04, 2026",ORD-55477,Chicken Wings,Appetizers,3,10,30.00,12,John,t3
04 Jan 2026,ORD-55949,Bruschetta ,Appetizers,3,7,21,"7,50",John,T2
"Jan 04, 2026",ORD-62415,Beef Burger,Burgers,3,14,NONE,18,Sarah,T1
01/04/26,ORD-41029,Beef Burger ,Burgers,3,14,42,18.00,john,t3
"Jan 04, 2026",ORD-62169,Chicken Wings,Appetizers,2,10,20,8,Sarah,-
2026/01/04,ORD-78917,Tiramisu,Desserts,3,8,24.00,9,,T1
04 Jan 2026,ORD-49530,Margherita Pizza,Pizza,1,15,15,5,,t3
01/04/26,ORD-24968,Beef Burger,Burgers,1,14,14,6.00,n/a,-
04.01.2026,ORD-15488,Margherita Pizza,Pizza,3,15,45,15,john,
04-01-2026,ORD-53155,Beef Burger,Burgers,3,14,42,18,John,t3
2026/01/04,ORD-28936,French Fries,Sides,2,5,10,3.00,MARY,NULL
04/01/26,ORD-94216,PEPPERONI PIZZA,Pizza,2,18,36,12,John,
04/01/26,ORD-61144,Chicken Wings,Appetizers,1,10,10,"4,00",MARY,
04-01-2026,ORD-11056,  Soda  ,Drinks,2,3,6.00,1.0,MARY,t3
01/04/26,ORD-72014,Chicken Wings,Appetizers,1,10,10,4,MARY,t3
2026/01/04,ORD-83471,French Fries,Sides,1,5,5,1.50 TRY,,T5
04/01/2026,ORD-95254,Bruschetta,Appetizers,2,7,14,"5,00",MARY,t3
04.01.2026,ORD-29261,Bruschetta,Appetizers,3,7,21,7.5,John,t3
04-01-2026,ORD-35468,Chicken Wings,Appetizers,1,10,10,4.00,,t3
04/01/26,ORD-96847,Pepperoni Pizza,Pizza,1,18,18,6,sarah,T2
2026/01/04,ORD-92424,Coffee,Drinks,3,4,12,3,MARY,
01/04/26,ORD-81731,Bruschetta,Appetizers,2,7,14,5.0,,T2
2026/01/04,ORD-84601,BRUSCHETTA,Appetizers,3,7,21,7.5,MARY,t3
2026/01/04,ORD-38902,Pepperoni Pizza,Pizza,3,18,54,18,,-
01/04/2026,ORD-18035,Pepperoni Pizza,Pizza,1,18,18,6.00,john,T5
04.01.2026,ORD-48612,Margherita Pizza,Pizza,2,15,30.00,10.00,John,
04-01-2026,ORD-56404,Margherita Pizza,Pizza,1,15,15,5,John,T5
04 Jan 2026,ORD-90715,  Coffee  ,Drinks,1,4,4,1,john,t3
01/04/2026,ORD-14881,Beef Burger,Burgers,1,14,14,6,NA,t3
01/04/2026,ORD-25296,Caesar Salad,Salads,1,12,12,4,--,T1
04/01/26,ORD-96706,Tiramisu,Desserts,2,8,16,"6,00",null,T5
04-01-2026,ORD-99317,Beef Burger,Burgers,2,14,£28.00,12,MARY,T1
2026-01-04,ORD-83513,Pepperoni Pizza,Pizza,1,18,18,6,,-
2026/01/04,ORD-90075,Caesar Salad,Salads,2,12,24,£8.00,MARY,T2
04 Jan 2026,ORD-94702,Tiramisu,Desserts,3,8,24.00,9,John,
--,ORD-21119,Tiramisu,Desserts,1,8,8.00,3.00 USD,MARY,T1
04/01/2026,ORD-39277,Coffee,Drinks,1,4,4,1,,T5
04.01.2026,ORD-78722,pepperoni pizza,Pizza,1,18,18,6,Sarah,T5
2026/01/04,ORD-61508,Pepperoni Pizza,Pizza,3,18,54,18.00,Sarah,T2
"Jan 04, 2026",ORD-99238,Coffee,Drinks,1,4,4,1,MARY,T2
04/01/2026,ORD-36217,Beef Burger,Burgers,1,14,14,6,John,t3
04/01/26,ORD-79421,Bruschetta,Appetizers,1,7,7,2.5,John,T2
01/04/26,ORD-84452,CHICKEN WINGS,Appetizers,1,10,10,4,MARY,
2026/01/04,ORD-94241,Coffee ,Drinks,1,4,4,1.0%,sarah,T5
01/04/2026,ORD-32767,Caesar Salad,Salads,1,12,12,4,,T1
04/01/2026,ORD-25881,Pepperoni Pizza,Pizza,2,18,36.00 TRY,N/A,none,
-,ORD-94044,  Caesar Salad  ,Salads,1,12,12,4,,t3
04/01/2026,ORD-74886,Beef Burger,Burgers,2,14,28,12,,t3
04 Jan 2026,ORD-37669,Tiramisu,Desserts,2,8,16.00,6,john,N/A
04 Jan 2026,ORD-88644,French Fries,Sides,2,5,10,3.0,-,T5
04/01/26,ORD-76505,Chicken Wings,Appetizers,3,10,30,12,MARY,T1
04 Jan 2026,ORD-40988,Chicken Wings,Appetizers,3,10,30.00,12,Sarah,t3
05/01/2026,ORD-85860,Chicken Wings,Appetizers,1,10,10,4,Sarah,T5
--,ORD-97953,Pepperoni Pizza,Pizza,3,18,54.00,,sarah,
"Jan 05, 2026",ORD-10474,Pepperoni Pizza,Pizza,1,18,18,6,sarah,T2
05.01.2026,ORD-71300,margherita pizza,Pizza,2,15,"30,00",10,john,T1
01/05/2026,ORD-92512,Margherita Pizza,Pizza,1,15,15.00,5,John,
n/a,ORD-85219,Tiramisu,Desserts,2,8,none,6.00,John,T5
01/05/26,ORD-76405,Margherita Pizza,Pizza,1,15,15,5,none,T5
05 Jan 2026,ORD-46297,Beef Burger,Burgers,1,14,nan,6,john,T2
05 Jan 2026,ORD-94141,french fries,Sides,3,5,15,4.5,MARY,T1
05/01/26,ORD-33426,Soda,Drinks,2,3,6.00,--,MARY,T2
2026/01/05,ORD-44628,Caesar Salad,Salads,2,12,24,8,Sarah,T1
null,ORD-86580,Chicken Wings,Appetizers,3,10,30,12,john,T1
05/01/2026,ORD-64365,Tiramisu,Desserts,3,8,24,9,MARY,t3
05 Jan 2026,ORD-64623,BEEF BURGER,Burgers,2,14,28,12,sarah,--
05 Jan 2026,ORD-33211,Margherita Pizza,Pizza,2,15,30,10.00 USD,,t3
2026-01-05,ORD-43237,MARGHERITA PIZZA,Pizza,1,15,15,5,John,T2
2026/01/05,ORD-86987,Tiramisu,Desserts,2,8,16,6.00,NULL,
01/05/2026,ORD-68756,French Fries,Sides,3,5,15,4.5,--,
2026/01/05,ORD-68878,Margherita Pizza,Pizza,2,15,30,10,john,T5
01/05/2026,ORD-33239,Chicken Wings,Appetizers,2,10,$20.00,8,N/A,T2
01/05/26,ORD-42288,Margherita Pizza,Pizza,1,15,15,5.00,John,T5
05 Jan 2026,ORD-40973,  Chicken Wings  ,Appetizers,1,10,10,4.00,john,T2
"Jan 05, 2026",ORD-20120,Bruschetta,Appetizers,1,7,7,2.5,john,NONE
"Jan 05, 2026",ORD-15684,Coffee,Drinks,1,4,$4.00,1,John,N/A
05-01-2026,ORD-91950,Soda,Drinks,1,3,$3.00,0.5,null,nan
2026-01-05,ORD-58115,Caesar Salad,Salads,1,12,NA,4.00 USD,sarah,T2
05/01/26,ORD-95457,coffee,Drinks,2,4,-,2,john,--
01/05/26,ORD-29964,Margherita Pizza,Pizza,3,15,45,15,MARY,T1
01/05/26,ORD-85429,Tiramisu,Desserts,1,8,8,3,Sarah,t3
05 Jan 2026,ORD-44953,Chicken Wings,Appetizers,1,10,10,4,john,T2
05.01.2026,ORD-42821,Coffee,Drinks,1,4,4,1,John,T1
01/05/26,ORD-25955,Pepperoni Pizza,Pizza,2,18,36,12,john,
01/05/26,ORD-81934,Chicken Wings,Appetizers,2,10,20,8,,t3
"Jan 06, 2026",ORD-52669,Coffee,Drinks,1,4,4,1,,n/a
06/01/2026,ORD-75149,Caesar Salad,Salads,2,12,24,8,John,T1
01/06/26,ORD-79875,Pepperoni  Pizza,Pizza,2,18,36.00,12.0%,NA,T5
06 Jan 2026,ORD-27529,Soda,Drinks,2,3,6,1.0,,t3
2026-01-06,ORD-29388,Coffee,Drinks,3,4,12.00,3,,t3
2026/01/06,ORD-55309,Tiramisu,Desserts,2,8,16,6,MARY,T5
06 Jan 2026,ORD-23337,  Beef Burger  ,Burgers,2,14,28,12.00,,nan
2026/01/06,ORD-11683,French Fries,Sides,1,5,"5,00",£1.50,Sarah,T1
nan,ORD-50264,Margherita Pizza,Pizza,1,15,15,£5.00,,null
06/01/2026,ORD-58714,French Fries,Sides,3,5,15,4.50,none,T1
"Jan 06, 2026",ORD-57351,Chicken Wings,Appetizers,3,10,30,12,,T5
2026/01/06,ORD-99052,Chicken Wings,Appetizers,3,10,30.00,12.00,,
01/06/2026,ORD-51539,Beef  Burger,Burgers,1,14,14,6.00,John,t3
2026-01-06,ORD-14034,Margherita Pizza,Pizza,3,15,45,15,sarah,
01/06/2026,ORD-87290,Soda,Drinks,1,3,3,$0.50,--,T2
2026-01-06,ORD-46078,Caesar Salad,Salads,2,12,24,8,-,T2
06/01/2026,ORD-30661,French Fries,Sides,3,5,"15,00",4.5,john,NA
01/06/2026,ORD-90286,Pepperoni Pizza,Pizza,1,18,18.00,6.00,,
06/01/26,ORD-91027,Soda,Drinks,3,3,9,1.5,sarah,
07-01-2026,ORD-23531,French Fries,Sides,3,5,15.00,NONE,Sarah,T2
"Jan 07, 2026",ORD-50201,pepperoni pizza,Pizza,3,18,54.00,18,Sarah,T2
01/07/2026,ORD-25131,  Coffee  ,Drinks,1,4,4.00,1,Sarah,null
07/01/2026,ORD-67454,caesar salad,Salads,2,12,24.00,8,,NA
07-01-2026,ORD-75395,Tiramisu,Desserts,3,8,$24.00,NULL,sarah,-
07.01.2026,ORD-77008,French Fries,Sides,2,5,10,3.00,john,--
07/01/26,ORD-93111,Pepperoni Pizza,Pizza,1,18,18,6,MARY,T2
01/07/26,ORD-20912,Pepperoni Pizza,Pizza,1,18,18.00,-,MARY,
01/07/2026,ORD-49272,Soda,Drinks,1,3,3.0%,0.50,sarah,t3
07.01.2026,ORD-64005,  Beef Burger  ,Burgers,2,14,28,12,none,T2
07.01.2026,ORD-80714,Caesar Salad,Salads,1,12,nan,4,MARY,t3
2026/01/07,ORD-80177,Tiramisu,Desserts,1,8,8,"3,00",NONE,
2026/01/07,ORD-94129,Coffee,Drinks,1,4,€4.00,1,sarah,T2
07 Jan 2026,ORD-73357,Soda,Drinks,2,3,6,1.00,sarah,T1
07-01-2026,ORD-18679,pepperoni pizza,Pizza,1,18,18.00,6.00,sarah,T1
2026-01-07,ORD-59155,Beef Burger,Burgers,3,14,42,18,,
01/07/26,ORD-39579,Soda,Drinks,2,3,N/A,1.0,john,NA
07 Jan 2026,ORD-59045,Soda,Drinks,1,3,£3.00,0.50,MARY,T5
07 Jan 2026,ORD-17843,Tiramisu,Desserts,1,8,8,n/a,John,NULL
2026/01/07,ORD-99710,Beef Burger,Burgers,1,14,14,6,N/A,T1
07/01/2026,ORD-39951,Pepperoni Pizza,Pizza,1,18,18,6,john,
NA,ORD-70844,Pepperoni Pizza,Pizza,2,18,36,12,,t3
07/01/26,ORD-58506,Pepperoni Pizza,Pizza,1,18,18.00,6.0%,sarah,t3
07-01-2026,ORD-55389,Coffee,Drinks,3,4,12,3,sarah,t3
none,ORD-94237,Tiramisu,Desserts,3,8,24.00,9.00,John,
2026-01-07,ORD-69286,French Fries,Sides,3,5,15,4.5,John,T5
01/07/2026,ORD-49498,Caesar Salad,Salads,2,12,24,N/A,john,-
07-01-2026,ORD-30014,Chicken Wings,Appetizers,1,10,"10,00",4,john,T5
01/07/26,ORD-50682,Chicken  Wings,Appetizers,3,10,$30.00,12,MARY,T2
07-01-2026,ORD-98498,Beef Burger,Burgers,2,14,£28.00,12.00,MARY,T5
2026/01/07,ORD-51659,Soda,Drinks,2,3,6.00,1.00,MARY,t3
2026-01-07,ORD-42911,Beef Burger,Burgers,3,14,42,18,MARY,T1
07-01-2026,ORD-74024,FRENCH FRIES,Sides,1,5,£5.00,1.5,john,T2
2026-01-07,ORD-21450,pepperoni pizza,Pizza,1,18,18,6,NA,
"Jan 07, 2026",ORD-67974,Soda,Drinks,2,3,6,1.0,,t3
NA,ORD-13662,Chicken Wings,Appetizers,2,10,20.00,8,john,T1
07/01/26,ORD-84692,Chicken Wings,Appetizers,1,10,10,NONE,john,t3
NONE,ORD-11106,French Fries,Sides,3,5,NULL,4.5,Sarah,T5
2026-01-07,ORD-49640,pepperoni pizza,Pizza,3,18,"54,00",18.00,,T1
07/01/26,ORD-67036,French Fries,Sides,3,5,15.00 USD,4.5,MARY,T5
07.01.2026,ORD-18156,  Caesar Salad  ,Salads,3,12,36,12,sarah,n/a
07/01/26,ORD-49951,Caesar Salad,Salads,1,12,12,4,,T2
2026/01/07,ORD-28015,Bruschetta,Appetizers,2,7,14.00,5.0,MARY,T2
2026/01/07,ORD-92100,Beef Burger,Burgers,3,14,42,18.00,MARY,--
01/07/2026,ORD-63782,Margherita Pizza,Pizza,3,15,45,"15,00",John,t3
2026/01/08,ORD-60009,Soda,Drinks,1,3,3,0.5,MARY,t3
08/01/26,ORD-90239,Caesar Salad ,Salads,2,12,24,8,John,t3
01/08/26,ORD-12198,Tiramisu,Desserts,2,8,16,"6,00",sarah,T5
08 Jan 2026,ORD-37841,Margherita Pizza,Pizza,3,15,45,15,,NULL
08/01/26,ORD-59817,Caesar Salad,Salads,3,12,36,12,,T1
01/08/26,ORD-21006,Bruschetta,Appetizers,2,7,14,5.0,MARY,
"Jan 08, 2026",ORD-82864,Pepperoni Pizza,Pizza,1,18,18,6.00 TRY,sarah,--
08.01.2026,ORD-68389,Tiramisu,Desserts,1,8,8,3.00,Sarah,
01/08/2026,ORD-19798,Margherita Pizza,Pizza,3,15,£45.00,15,John,T5
